,Glottocode,label_,outlier_prob,cluster_prob
459,naka1262,4,0.0,1.0
460,nali1244,1,,0.0
461,nali1244b,14,0.0,1.0
462,nama1266,10,0.0,1.0
463,nama1268,4,0.0,1.0
464,nama1268b,0,0.0,1.0
465,namb1293,10,0.0,1.0
466,nang1262,0,0.0,1.0
467,nege1244,4,0.0,1.0
468,neha1247,14,0.0,1.0
469,nene1249,2,0.0,1.0
470,nenn1238,10,0.0,1.0
471,nenn1238a,10,0.0,1.0
472,nepa1254,2,0.0,1.0
473,nese1235,-1,0.0,0.0
474,ngaa1240,6,0.0,1.0
475,ngad1258,5,0.0,1.0
476,ngal1292,-1,0.0,0.0
477,ngam1265,6,0.0,1.0
478,ngar1235,6,0.0,1.0
479,ngar1286,2,0.0,1.0
480,ngar1287,2,0.0,1.0
481,ngun1274,4,0.0,1.0
482,nhan1238,5,0.0,1.0
483,niua1240,11,0.0,1.0
484,niue1239,-1,0.11111111111111116,0.0
485,njeb1242,8,0.0,1.0
486,noga1249,2,0.0,1.0
487,nort1551,2,0.0,1.0
488,nort2641,4,0.0,1.0
489,nort2702,3,0.0,1.0
490,nort2836,4,0.0,1.0
491,nort2839,1,,0.0
492,nort2845,8,0.0,1.0
493,nort2847,13,0.0,1.0
494,nort2877,2,0.0,1.0
495,nort2938,6,0.0,1.0
496,nort2952,2,0.0,1.0
497,nort2972,2,0.0,1.0
498,norw1259,4,0.0,1.0
499,nucl1235,4,0.0,1.0
500,nucl1301,6,0.0,1.0
501,nucl1305,2,,0.0
502,nucl1310,2,,0.0
503,nucl1417,4,0.0,1.0
504,nucl1460,6,0.0,1.0
505,nucl1479,12,0.0,1.0
506,nucl1622,2,0.0,1.0
507,nucl1643,2,0.0,1.0
508,nucl1649,4,0.0,1.0
509,nucl1653,6,0.0,1.0
510,numb1247,7,0.0,1.0
511,nyam1271,6,0.0,1.0
512,nyan1301,6,0.0,1.0
513,nyaw1247,2,0.0,1.0
514,nyor1246,10,0.0,1.0
515,ocea1241,8,0.0,1.0
516,oduu1239,2,0.0,1.0
517,ojib1241,6,0.0,1.0
518,okan1243,2,,0.0
519,olal1237,1,,0.0
520,olda1245,2,0.0,1.0
521,olde1238,4,0.0,1.0
522,oldh1241,4,0.0,1.0
523,oldi1245,4,0.0,1.0
524,oldn1244,4,0.0,1.0
525,oldw1239,4,0.0,1.0
526,omah1247,2,,0.0
527,onaa1245,2,0.0,1.0
528,onei1249,2,,0.0
529,onon1246,2,0.0,1.0
530,onto1237,12,0.0,1.0
531,opat1246,2,0.0,1.0
532,oriy1255,2,0.0,1.0
533,osag1243,-1,0.06666666666666661,0.0
534,osse1243,4,0.0,1.0
535,osse1245,4,0.0,1.0
536,otoo1241,2,,0.0
537,otta1242,6,0.0,1.0
538,owaa1237,4,0.0,1.0
539,paam1238,1,,0.0
540,paco1243,6,0.0,1.0
541,pado1242,10,0.0,1.0
542,paez1247,1,0.0,1.0
543,pagu1249,4,0.0,1.0
544,paic1239,10,0.0,1.0
545,paiw1248,1,0.0,1.0
546,pala1344,13,0.0,1.0
547,pali1274,2,0.0,1.0
548,pamp1243,4,0.0,1.0
549,pana1305,2,0.0,1.0
550,panj1256,2,0.0,1.0
551,pash1269,2,0.0,1.0
552,pata1260,2,0.0,1.0
553,pawn1254,-1,0.0,0.0
554,pend1242,10,0.0,1.0
555,penr1237,8,0.0,1.0
556,peor1238,6,,0.0
557,phen1239,10,0.0,1.0
558,pieg1239,2,0.0,1.0
559,pila1245,9,0.0,1.0
560,pile1238,8,0.0,1.0
561,pint1250,6,0.0,1.0
562,pirr1240,2,0.0,1.0
563,pitj1243,6,0.0,1.0
564,pitt1247,6,0.0,1.0
565,plai1258,2,0.0,1.0
566,plat1254,0,0.0,1.0
567,pohn1238,12,0.0,1.0
568,pohn1238a,4,0.0,1.0
569,poli1260,4,0.0,1.0
570,ponc1241,2,,0.0
571,port1285,3,0.0,1.0
572,port1286,3,,0.0
573,pota1247,6,,0.0
574,prus1238,4,0.0,1.0
575,puin1248,2,0.0,1.0
576,puka1242,12,0.0,1.0
577,pulu1242,12,0.0,1.0
578,pume1238,2,0.0,1.0
579,puyu1239,10,0.0,1.0
580,pwoo1239,2,,0.0
581,qawa1238,2,0.0,1.0
582,rade1240,-1,0.25,0.0
583,raha1237,10,0.0,1.0
584,raka1237,8,0.0,1.0
585,rapa1244,6,,0.0
586,rapa1245,8,0.0,1.0
587,raro1241,8,0.0,1.0
588,rata1245,1,0.0,1.0
589,reja1240,10,0.0,1.0
590,rita1239,6,0.0,1.0
591,roma1327,2,0.0,1.0
592,roto1249,0,0.0,1.0
593,rotu1241,8,0.0,1.0
594,rout1237,10,0.0,1.0
595,rovi1238,1,,0.0
596,russ1263,4,0.0,1.0
597,russ1263a,4,0.0,1.0
598,saaa1240,1,0.0,1.0
599,saaa1241,11,0.0,1.0
600,saar1237,2,0.0,1.0
601,saba1263,1,0.0,1.0
602,saka1287,10,0.0,1.0
603,sake1247,8,0.0,1.0
604,samo1305,-1,0.10000000000000009,0.0
605,samo1305a,11,0.0,1.0
606,sang1321,6,0.0,1.0
607,sans1269,2,0.0,1.0
608,sans1272,10,0.0,1.0
609,sara1326,1,0.0,1.0
610,sard1257,4,0.0,1.0
611,sata1237,12,0.0,1.0
612,sate1242,4,0.0,1.0
613,sawa1247,7,0.0,1.0
614,seke1241,12,0.0,1.0
615,seki1238,8,,0.0
616,selk1253,2,0.0,1.0
617,sene1264,2,0.0,1.0
618,serb1264,4,0.0,1.0
619,serr1255,2,0.0,1.0
620,sgaw1245,2,0.0,1.0
621,shas1239,5,0.0,1.0
622,shaw1249,6,0.0,1.0
623,sher1255,6,0.0,1.0
624,shin1265,2,0.0,1.0
625,ship1254,6,0.0,1.0
626,siee1239,11,0.0,1.0
627,sika1261,12,0.0,1.0
628,sika1262,10,0.0,1.0
629,sind1272,2,0.0,1.0
630,sinh1246,2,0.0,1.0
631,sini1245,2,0.0,1.0
632,siri1273,3,0.0,1.0
633,slav1253,2,0.0,1.0
634,slov1268,4,0.0,1.0
635,slov1269,4,0.0,1.0
636,soga1242,-1,0.1428571428571429,0.0
637,soge1235,8,0.0,1.0
638,song1299,10,0.0,1.0
639,sons1242,1,,0.0
640,sout1528,4,0.0,1.0
641,sout2856,-1,0.0,0.0
642,sout2857,11,0.0,1.0
643,sout2859,12,0.0,1.0
644,sout2865,12,0.0,1.0
645,sout2866,3,0.0,1.0
646,sout2869,12,0.0,1.0
647,sout2883,10,0.0,1.0
648,sout2959,2,0.0,1.0
649,sout2976,9,0.0,1.0
650,spok1245,2,,0.0
651,stan1288,2,0.0,1.0
652,stan1289,4,0.0,1.0
653,stan1290,2,0.0,1.0
654,stan1293,4,0.0,1.0
655,stan1295,4,0.0,1.0
656,suki1245,2,0.0,1.0
657,suku1259,9,,0.0
658,suku1261,2,0.0,1.0
659,sula1245,8,0.0,1.0
660,sumb1240,3,0.0,1.0
661,sund1252,10,0.0,1.0
662,suru1262,8,0.0,1.0
663,suun1239,3,0.0,1.0
664,suzh1234,2,0.0,1.0
665,swed1254,2,0.0,1.0
666,taba1266,2,0.0,1.0
667,tady1237,1,0.0,1.0
668,taga1270,1,0.0,1.0
669,tahi1242,8,,0.0
670,taje1237a,10,0.0,1.0
671,taje1237b,10,0.0,1.0
672,taji1245,6,0.0,1.0
673,taji1246,10,0.0,1.0
674,taki1248,12,0.0,1.0
675,tali1259,14,0.0,1.0
676,tali1262,13,0.0,1.0
677,tami1289,2,,0.0
678,tana1285,0,0.0,1.0
679,tang1347,2,0.0,1.0
680,tapi1254,7,0.0,1.0
681,tasi1237,0,0.0,1.0
682,taum1237,8,0.0,1.0
683,taus1251,1,0.0,1.0
684,taus1251a,10,0.0,1.0
685,tehu1242,1,0.0,1.0
686,teiw1235,1,0.0,1.0
687,telu1262,2,0.0,1.0
688,temb1276,7,0.0,1.0
689,tenh1241,3,0.0,1.0
690,tesu1245,3,0.0,1.0
691,tete1250,6,,0.0
692,tetu1245,6,0.0,1.0
693,tetu1246,6,0.0,1.0
694,thao1240,1,0.0,1.0
695,thay1249,2,0.0,1.0
696,tido1248,7,0.0,1.0
697,tido1248a,8,,0.0
698,tiga1245,12,0.0,1.0
