,glottocode,label_,outlier_prob,cluster_prob,x,y
245,sout2959,6,0.0,1.0,1.6713122193986008,2.188206225227673
246,stan1288,6,0.0,1.0,1.00879654945577,-0.9585789799299138
247,stan1289,6,0.0,1.0,1.5321051934516938,-0.2594103950596566
248,stan1290,6,0.0,1.0,2.0048236354226456,1.609008962542812
249,stan1293,6,0.0,1.0,1.6542424060738463,0.6178088397611506
250,stan1295,6,0.0,1.0,0.9846746554939714,0.7948544357825195
251,swed1254,8,0.0,1.0,-0.6914806894935432,0.9666227686867428
252,tahi1242,-1,0.25,0.0,-1.9970527458655634,-1.5298820795479162
253,tami1289,-1,0.18181818181818188,0.0,-1.466358376938509,-1.3178175273755621
254,tana1285,-1,0.25,0.0,-2.121558582400714,-2.30036372440929
255,tapi1254,4,0.0,1.0,-2.2446122180232178,-0.17811835897479417
256,tehu1242,6,0.0,1.0,1.3264504115600255,0.39591215205636127
257,telu1262,-1,0.20000000000000004,0.0,0.5864377347506338,1.028699372059233
258,tenh1241,2,,0.0,-2.7112131000915016,1.17882112935834
259,term1237,4,0.0,1.0,-2.1407571986082075,1.0389883204915074
260,tiko1237,-1,0.4,0.0,-3.1305629341607473,-1.9920076523771373
261,tivv1240,-1,0.625,0.0,-2.538245963858289,-3.252505046480584
262,toba1269,6,0.0,1.0,0.6266589611415511,-1.1781997942945837
263,tong1321,-1,0.4,0.0,-3.1940267160176816,-1.941286991979119
264,tong1325,2,,0.0,-1.5201480421930156,3.3980289762360836
265,tosk1239,6,0.0,1.0,1.148059352853741,2.5670126392304753
266,trin1274,5,0.0,1.0,-0.4812687163410309,-1.017942536331027
267,trum1247,6,0.0,1.0,1.1582801647380871,0.5881590132238447
268,tson1249,2,0.0,1.0,-3.5223857979742017,1.2219853180966522
269,tswa1253,3,0.0,1.0,-2.428519631338796,0.5954424502927318
270,tuam1242,0,0.0,1.0,1.7769938651774368,-1.3300698880903747
271,tupi1273,4,0.0,1.0,-1.194510482659842,0.9352849316131072
272,tupi1274,3,0.0,1.0,-2.5648758074738005,0.29189367482342127
273,tuva1244,0,0.0,1.0,0.3600954277177606,-1.6712764860393556
274,tuyu1244,6,0.0,1.0,-0.1190147207017973,-1.557828947006241
275,tzel1254,-1,0.14285714285714282,0.0,-0.7346504198380419,-1.4619101796702232
276,udmu1245,6,0.0,1.0,1.3683221281999423,-0.24608180496048387
277,ukra1253,6,0.0,1.0,1.554761091254928,2.372955503214708
278,urdu1245,8,0.0,1.0,-0.3260778293897261,0.603519999082044
279,vlax1238,6,0.0,1.0,1.8876663322793639,-0.6212161387894789
280,waga1260,5,0.0,1.0,-0.587068575004136,3.494870169356209
281,wall1255,6,0.0,1.0,2.39984826265842,-0.11765372768696064
282,wang1290,-1,0.4,0.0,-2.7567046982433996,2.7650691216422483
283,waor1240,6,0.0,1.0,0.751286524280274,-1.0455116850578612
284,wapi1253,6,0.0,1.0,0.6728761302265795,2.093947929947411
285,warl1255,5,0.0,1.0,-1.1077686575333765,3.0902146564004935
286,waru1265,5,0.0,1.0,0.11269260170999292,2.582512079516179
287,waur1244,6,0.0,1.0,0.5840859603550873,1.2328664111227499
288,waya1270,6,0.0,1.0,-0.8718359721736669,0.4132258252519977
289,wayu1243,-1,0.625,0.0,-2.5382439542816186,-3.252506650716353
290,wels1247,6,0.0,1.0,1.5364072413919359,1.003328500859508
291,west1508,0,0.0,1.0,0.5857313078356441,-2.2495469406249833
292,west2369,6,0.0,1.0,0.578782728379654,-0.46541978015613544
293,west2386,6,0.0,1.0,1.424709287257376,-0.8079519855312058
294,west2615,5,0.0,1.0,-0.6273736768825653,1.3599807353654154
295,wich1264,6,0.0,1.0,0.7864327382493873,0.17531463649927273
296,wiyo1248,6,0.0,1.0,-0.8824595692232367,0.2561134005305631
297,yala1262,2,0.0,1.0,-3.759762383870385,1.986129912829645
298,yama1264,6,0.0,1.0,0.1573001261822761,-0.34542177962581194
299,yand1253,2,0.0,1.0,-3.576300548611099,1.3858673768288114
300,yany1243,5,0.0,1.0,-2.043663650404319,1.6174042047348962
301,yavi1244,0,0.0,1.0,0.10207025908143028,-1.7130778630024555
302,yind1247,2,,0.0,-2.1095277624117745,0.6794840171113695
303,yomb1244,2,0.0,1.0,-3.457048792034545,1.0230842284781185
304,yugu1249,6,0.0,1.0,-0.6879039338130717,-1.3581766179189219
305,zigu1242,1,0.0,1.0,-0.25546040027598343,-1.9586106265270407
306,zulu1248,-1,0.625,0.0,-2.5382440481001765,-3.252506575821473
