Glottocode,mFF,mFM,mMF,mMM,wFF,wFM,wMF,wMM
nege1244,gro-pupa,grani,gro-pupa,grani,gro-pupa,grani,gro-pupa,grani
nene1249,ir̃i,xada,ir̃i,xada,ir̃i,xada,ir̃i,xada
nepa1254,jiba,gharakibajei,jiba,barāāmā,jiba,gharakibajei,jiba,barāāmā
ngaa1240,tyamu,kaparli,tyamu,kaparli,tyamu,kaparli,tyamu,kaparli
ngar1235,kaku,ngapupu,tyawityi,tyatyu,kaku,ngapupu,tyawityi,tyatyu
ngar1287,mayali,ngapari,maputyi,kantharri,mayali,ngapari,maputyi,kantharri
ngon1269,ambuya,ambuya,ambuya,ambuya,ambuya,ambuya,ambuya,ambuya
ngul1246,baba,wao,baba,wao,baba,wao,baba,wao
nina1238,šoa-ye,yaa-ye,šoa-ye,yaa-ye,šoa-ye,yaa-ye,šoa-ye,yaa-ye
niue1239,tupua,tupua,tupua,tupua,tupua,tupua,tupua,tupua
niva1238,-ktˀeʔč,-ktˀe,-ktˀeʔč,-ktˀe,-ktˀeʔč,-ktˀe,-ktˀeʔč,-ktˀe
noga1249,атай,анай,атай,анай,атай,анай,атай,анай
nort2641,bappir,dappir,bappir,dappir,bappir,dappir,bappir,dappir
nort2671,addya,ahkku,addya,ahkku,addya,ahkku,addya,ahkku
nort2697,dede,nene,dede,nene,dede,nene,dede,нене
nort2702,bābā,dādī,bābā,dādī,bābā,dādī,bābā,dādī
nort2845,tupunaahana,tupunavehine,tupunaahana,tupunavehine,tupunaahana,tupunavehine,tupunaahana,tupunavehine
nort2877,ikitailalaki,ikitaifafai,ikitailalaki,ikitaifafai,ikitailalaki,ikitaifafai,ikitailalaki,ikitaifafai
nort2938,čʰan,náan,čʰan,náan,čʰan,náan,čʰan,náan
nort2942,setsée,setsį,setsée,setsį,setsée,setsį,setsée,setsį
nort2951,a,saka,pa,kesi,a,saka,pa,kesi
nort2952,sakam,sasam,hopam,kotom,sakam,sasam,hopam,kotom
nort2966,aba,ama,atsa,aka,aba,ama,atsa,aka
nort2972,zeze-'zrõã,papa-'ǰora,zeze-'zrõã,papa-'ǰora,zeze-'zrõã,papa-'ǰora,zeze-'zrõã,papa-'ǰora
norw1259,bestefar,bestemor,bestefar,bestemor,bestefar,bestemor,bestefar,bestemor
nucl1235,mežḣayr,mežmayr,mežḣayr,mežmayr,mežḣayr,mežmayr,mežḣayr,mežmayr
nucl1310,aphou,aphwa,aphou,aphwa,aphou,aphwa,aphou,aphwa
nucl1479,tamatamai,sinnitamai,tamaannisilei,sinnisilei,tamatamai,sinnitamai,tamaannisilei,sinnisilei
nucl1643,sofu,sobo,sofu,sobo,sofu,sobo,sofu,sobo
nucl1649,niiya,dziʔis,niiya,dziʔis,niiya,dziʔis,niiya,dziʔis
nyak1260,mwinangu,nkasi,mwinangu,nkasi,ndume,mwinangu,ndume,mwinangu
nyam1271,mayili,kaparli,mapityi,kantharri,mayili,kaparli,mapityi,kantharri
nyan1301,karli,kaparli,tyamu,kami,karli,kaparli,tyamu,kami
nyor1246,isenkuru,nyinenkuru,isenkuru,nyinenkuru,isenkuru,nyinenkuru,isenkuru,nyinenkuru
oduu1239,tă:,jă:,tă:,jă:,tă:,jă:,tă:,jă:
olda1245,sābā,sābtā,sābā,sābtā,sābā,sābtā,sābā,sābtā
