Glottocode,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,wFBeD,wFBeS,wFByD,wFByS,wFZeD,wFZeS,wFZyD,wFZyS,wMBeD,wMBeS,wMByD,wMByS,wMZeD,wMZeS,wMZyD,wMZyS
para1311,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ
pash1269,kakáloer,tarbúr,kakáloer,tarbúr,ploranaiyétèrprā,tarbúr,ploranaiyétèrprā,tarbúr,nyoiyelīr,nyoiyezyai,nyoiyelīr,nyoiyezyai,mèranaiyétèrprā,mèranaitèrpir,mèranaiyétèrprā,mèranaitèrpir,kakáloer,tarbúr,kakáloer,tarbúr,ploranaiyétèrprā,tarbúr,ploranaiyétèrprā,tarbúr,nyoiyelīr,nyoiyezyai,nyoiyelīr,nyoiyezyai,mèranaiyétèrprā,mèranaitèrpir,mèranaiyétèrprā,mèranaitèrpir
penr1237,tuahine,tuakana,tuahine,teina,tuahine,tuakana,tuahine,teina,tuahine,tuakana,tuahine,teina,tuahine,tuakana,tuahine,teina,tuakana,tuangaane,teina,tuangaane,tuakana,tuangaane,teina,tuangaane,tuakana,tuangaane,teina,tuangaane,tuakana,tuangaane,teina,tuangaane
phai1238,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj,khuanńjaj
phen1239,m'mue,m'mue,m'mue,m'mue,isoni,m'mue,isoni,m'mue,isoni,isoni,isoni,isoni,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,isoni,m'mue,isoni,m'mue,isoni,isoni,isoni,isoni,m'mue,m'mue,m'mue,m'mue
pila1245,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya
pitt1247,kaku,thithi,kaku,thithi,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,kaku,thithi,kaku,thithi,kaku,thithi,kaku,thithi,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,kaku,thithi,kaku,thithi
polc1243,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees,yees
poli1260,siostrastryjeczna,bratstryjeczny,siostrastryjeczna,bratstryjeczny,ciotecznasiostrazestronyojca,ciotecznybratzestronyojca,ciotecznasiostrazestronyojca,ciotecznybratzestronyojca,siostrawujeczna,bratwujeczny,siostrawujeczna,bratwujeczny,siostracioteczna,bratcioteczny,siostracioteczna,bratcioteczny,siostrastryjeczna,bratstryjeczny,siostrastryjeczna,bratstryjeczny,ciotecznasiostrazestronyojca,ciotecznybratzestronyojca,ciotecznasiostrazestronyojca,ciotecznybratzestronyojca,siostrawujeczna,bratwujeczny,siostrawujeczna,bratwujeczny,siostracioteczna,bratcioteczny,siostracioteczna,bratcioteczny
port1283,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo
puel1244,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ,kɨnɨ
pume1238,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ
qawa1238,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe
rapa1244,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,taina
roma1327,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr
rotu1241,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,sag'veveni
rund1242,mushikâcu,mwéne-dåtá-wåcu,mushikâcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mushikanje,mwéne-måmá-wåcu,mushikanje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,musâzâcu,mwéne-dåtá-wåcu,musâzâcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu
russ1263,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat,dvojúrodnajasestrá,dvojúrodnyjbrat
saka1287,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå,bwå
samo1305,tuafafine,uso,tuafafine,uso,tuafafine,uso,tuafafine,uso,tuafafine,uso,tuafafine,uso,tuafafine,uso,tuafafine,uso,uso,tuagane,uso,tuagane,uso,tuagane,uso,tuagane,uso,tuagane,uso,tuagane,uso,tuagane,uso,tuagane
sana1298,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ,nentemeemeŋyaaɬeŋˀ
sans1269,bhaginī,bhrātṛ,bhaginī,bhrātṛ,pitṛṣvasrīya,bhrātṛ,pitṛṣvasrīya,bhrātṛ,svasṛ,bhrātṛ,svasṛ,bhrātṛ,svasṛ,mātṛṣvasrīya,svasṛ,mātṛṣvasrīya,bhaginī,bhrātṛ,bhaginī,bhrātṛ,pitṛṣvasrīya,bhrātṛ,pitṛṣvasrīya,bhrātṛ,svasṛ,bhrātṛ,svasṛ,bhrātṛ,svasṛ,mātṛṣvasrīya,svasṛ,mātṛṣvasrīya
sans1272,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji,mwanaangwaankaji
sard1257,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile
sate1242,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder
serb1264,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak
seri1257,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx,āmoo'yakx
shin1265,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar
ship1254,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho
sind1272,sauṭi,sauṭo,sauṭi,sauṭo,puphāṭī,puphāṭu,puphāṭī,puphāṭu,māroṭi,māroṭu,māroṭi,māroṭu,māsāti,masātu,māsāti,masātu,sauṭi,sauṭo,sauṭi,sauṭo,puphāṭī,puphāṭu,puphāṭī,puphāṭu,māroṭi,māroṭu,māroṭi,māroṭu,māsāti,masātu,māsāti,masātu
sinh1246,akka,aiya,naƞgi,malli,næna,massina,næna,massina,næna,massina,næna,massina,akka,aiya,naƞgi,malli,akka,aiya,naƞgi,malli,næna,massina,næna,massina,næna,massina,næna,massina,akka,aiya,naƞgi,malli
sion1247,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ,wiʔya-kˀɨ
slov1268,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc
slov1269,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec
soga1242,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda
song1299,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil
sout1528,sestraodstrica,bratodstrica,sestraodstrica,bratodstrica,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke,sestraodujaka,bratodujaka,sestraodujaka,bratodujaka,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke,sestraodstrica,bratodstrica,sestraodstrica,bratodstrica,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke,sestraodujaka,bratodujaka,sestraodujaka,bratodujaka,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke
sout2959,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į
sout2976,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ
stan1288,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo
stan1289,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí
stan1290,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin
stan1293,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin
stan1295,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin
suku1259,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni
swed1254,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn,syskon-barn
tahi1242,tuahine,tua'ana,tuahine,teina,tuahine,tua'ana,tuahine,teina,tuahine,tua'ana,tuahine,teina,tuahine,tua'ana,tuahine,teina,tua'ana,tua'ane,teina,tua'ane,tua'ana,tua'ane,teina,tua'ane,tua'ana,tua'ane,teina,tua'ane,tua'ana,tua'ane,teina,tua'ane
tana1285,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy
tapi1254,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-rykera,che-kuwyra,che-kypýura,che-kuwyra
tehu1242,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw
telu1262,sōdari,sōdaruḍu,sōdari,sōdaruḍu,vodine,bāmmardi,vodine,bāmmardi,vodine,bāmmardi,vodine,bāmmardi,sōdari,sōdaruḍu,sōdari,sōdaruḍu,sōdari,sōdaruḍu,sōdari,sōdaruḍu,vodine,bāmmardi,vodine,bāmmardi,vodine,bāmmardi,vodine,bāmmardi,sōdari,sōdaruḍu,sōdari,sōdaruḍu
temb1276,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra
tenh1241,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-
tiko1237,taina,taina,kave,taina,kave,taina,kave,taina,taina,kave,kave,taina,kave,taina,kave,taina,kave,kave,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,taina,kave,taina,kave
tivv1240,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo
toba1269,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya
tong1321,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwenima,mwenima,mwenima,mwenima,mwenima,mwenima,mwenima,mwenima,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwenima,mwenima,mwenima,mwenima,mwenima,mwenima,mwenima,mwenima,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu
tong1325,tuofefine,ta'okete,tuofefine,tehina,tuofefine,ta'okete,tuofefine,tehina,tuofefine,ta'okete,tuofefine,tehina,tuofefine,ta'okete,tuofefine,tehina,ta'okete,tuonga'ane,tehina,tuonga'ane,ta'okete,tuonga'ane,tehina,tuonga'ane,ta'okete,tuonga'ane,tehina,tuonga'ane,ta'okete,tuonga'ane,tehina,tuonga'ane
toor1238,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi
tosk1239,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri
tuam1242,tuahine,tuakana,tuahine,teina,tuahine,tuakana,tuahine,teina,tuahine,tuakana,tuahine,teina,tuahine,tuakana,tuahine,teina,tuakana,tugane,teina,tugane,tuakana,tugane,teina,tugane,tuakana,tugane,teina,tugane,tuakana,tugane,teina,tugane
tuva1244,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane,fakatautaina,fakatautuangane
