Glottocode,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,wF,wFeB,wFeZ,wFyB,wFyZ,wM,wMeB,wMeZ,wMyB,wMyZ
cube1242,pacu,pacumacu,parīmu,pacumacu,parīmu,paco,parīyó,pacomaco,parīyó,pacomaco,pacu,pacumacu,parīmu,pacumacu,parīmu,paco,parīyó,pacomaco,parīyó,pacomaco
cupe1243,-na,kum,-pah,meš,-pah,ye,táʂma,neʂ,táʂma,yéʂma,-na,kum,-pah,meš,-pah,ye,táʂma,neʂ,táʂma,yéʂma
czec1258,otec,strýc,teta,strýc,teta,matka,ujec,teta,ujec,teta,otec,strýc,teta,strýc,teta,matka,ujec,teta,ujec,teta
dand1238,tāppe,pepi,ātō,kākō,ātō,talugh,māmā,peri,māmā,kuchi,tāppe,pepi,ātō,kākō,ātō,talugh,māmā,peri,māmā,kuchi
dani1285,fader,farbror,faster,farbror,faster,moder,morbror,moster,morbror,moster,fader,farbror,faster,farbror,faster,moder,morbror,moster,morbror,moster
dari1249,pedar,amu,amme,amu,amme,mādar,dāi,xāle,dāi,xāle,pedar,amu,amme,amu,amme,mādar,dāi,xāle,dāi,xāle
dhar1248,pina,pina,pindirr,pina,pindirr,ngaya,migan,nhaya,migan,nhaya,pina,pina,pindirr,pina,pindirr,ngaya,migan,nhaya,migan,nhaya
digo1243,baba,babamvyere,shangazi,babamdide,shangazi,mayo,aphu,mayomvyere,aphu,mayomdide,baba,babamvyere,shangazi,babamdide,shangazi,mayo,aphu,mayomvyere,aphu,mayomdide
djam1256,kunhu',kunhu',mukul,kunhu',mukul,ngaarndi,kawal,ngaarnrti,kawal,ngaarnrti,kunhu',kunhu',mukul,kunhu',mukul,ngaarndi,kawal,ngaarnrti,kawal,ngaarnrti
dual1243,sángó,sángónusadi,ánti,sángónusadi,ánti,ńongo,mulál'a,ánti,mulál'a,ánti,sángó,sángónusadi,ánti,sángónusadi,ánti,ńongo,mulál'a,ánti,mulál'a,ánti
dutc1256,vader,oom,tante,oom,tante,moeder,oom,tante,oom,tante,vader,oom,tante,oom,tante,moeder,oom,tante,oom,tante
dyir1250,ŋuma,bimu,bimu,ŋuma,ŋalban,ginagir,mugu,mugunan,gaya,ginagir,ŋuma,bimu,bimu,ŋuma,ŋalban,ginagir,mugu,mugunan,gaya,ginagir
east2283,hayr,horyeɣbayr,horakʰuyr,horyeɣbayr,horakʰuyr,mayr,kʰer̃i,morakʰuyr,kʰer̃i,morakʰuyr,hayr,horyeɣbayr,horakʰuyr,horyeɣbayr,horakʰuyr,mayr,kʰer̃i,morakʰuyr,kʰer̃i,morakʰuyr
east2295,tate,tatnsbruder,tatnsšvester,tatnsbruder,tatnsšvester,mame,mamesbruder,mamesšvester,mamesbruder,mamesšvester,tate,tatnsbruder,tatnsšvester,tatnsbruder,tatnsšvester,mame,mamesbruder,mamesšvester,mamesbruder,mamesšvester
east2328,acha,kugyza,kunai,kugyza,kunai,ava,chӱchӱ,kunai,chӱchӱ,kunai,acha,kugyza,kunai,kugyza,kunai,ava,chӱchӱ,kunai,chӱchӱ,kunai
east2447,tamana,tamana,masakitange,tamana,masakitange,tsinana,tamana,tsinana,tamana,tsinana,tamana,tamana,masakitange,tamana,masakitange,tsinana,tamana,tsinana,tamana,tsinana
ekon1238,fafa,ise,isomoto,ise,isomoto,nyango,nyangobika,nyango,nyangobika,nyango,fafa,ise,isomoto,ise,isomoto,nyango,nyangobika,nyango,nyangobika,nyango
enap1235,yím,yím,wañéne,yím,wañéne,sanéʔ,yawóng,sanéʔ,yawóng,sanéʔ,yím,yím,wañéne,yím,wañéne,sanéʔ,yawóng,sanéʔ,yawóng,sanéʔ
erzy1239,tʸetʸa,lʸelʸax,sɨr̃ʸkay,lʸelʸax,sɨr̃ʸkay,ava,lʸelʸa,sɨr̃ʸkay,lʸelʸa,sɨr̃ʸkay,tʸetʸa,lʸelʸax,sɨr̃ʸkay,lʸelʸax,sɨr̃ʸkay,ava,lʸelʸa,sɨr̃ʸkay,lʸelʸa,sɨr̃ʸkay
esto1258,isa,lell,sətse,lell,sətse,ema,onu,tædi,onu,tædi,isa,lell,sətse,lell,sətse,ema,onu,tædi,onu,tædi
eyak1241,taa’,tinh,’ahd,tinh,’ahd,aan,gaag,yaaq’e’,gaag,yaaq’e’,taa’,tinh,’ahd,tinh,’ahd,aan,gaag,yaaq’e’,gaag,yaaq’e’
fang1246,tare,tare,son'a,tare,son'a,nya,nyandôm,nya,nyandôm,nya,tare,tare,son'a,tare,son'a,nya,nyandôm,nya,nyandôm,nya
finn1318,isæ,setæ,tæti,setæ,tæti,æiti,eno,tæti,eno,tæti,isæ,setæ,tæti,setæ,tæti,æiti,eno,tæti,eno,tæti
fipa1238,ïtaata,ïtaata,ïmaanguseenje,ïtaata,ïmaanguseenje,ïmaangu,ïmaanguluume,ïmaangu,ïmaanguluume,ïmaangu,ïtaata,ïtaata,ïmaanguseenje,ïtaata,ïmaanguseenje,ïmaangu,ïmaanguluume,ïmaangu,ïmaanguluume,ïmaangu
fris1239,heit,omke,tante,omke,tante,mem,omke,tante,omke,tante,heit,omke,tante,omke,tante,mem,omke,tante,omke,tante
gami1243,bubaa,garugi:,gamiyan,garugi:,gamiyan,gunidjarr,garruu,walgan,garruu,walgan,bubaa,garugi:,gamiyan,garugi:,gamiyan,gunidjarr,garruu,walgan,garruu,walgan
ghod1238,imʲa,ac̄i,atʼa,ac̄i,atʼa,ila,ac̄i,atʼa,ac̄i,atʼa,imʲa,ac̄i,atʼa,ac̄i,atʼa,ila,ac̄i,atʼa,ac̄i,atʼa
giga1238,ima,imuɬwocu,dadaci,imuɬwocu,dadaci,ila,iluɬwocu,babaci,iluɬwocu,babaci,ima,imuɬwocu,dadaci,imuɬwocu,dadaci,ila,iluɬwocu,babaci,iluɬwocu,babaci
