Glottocode,mBD,mBS,mD,mS,mZD,mZS,wBD,wBS,wD,wS,wZD,wZS
kwas1243,muakalmura,muakalmunçn,mua,mua,muakalmura,muakalmunçn,muakalmura,muakalmunçn,mua,mua,muakalmura,muakalmunçn
kwer1261,mwana,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwana,mwihwa,mwihwa
lahn1241,bhәtriji,bhatrīa,beṭī,puttur,bhaṇēī,bhaṇeā,bhәtriji,bhatrīa,beṭī,puttur,bhaṇēī,bhaṇeā
lamb1271,umwana,umwana,umwanaumwanakasi,umwanaumwalalume,umwipwa,umwipwa,umwipwa,umwipwa,umwanaumwanakasi,umwanaumwalalume,umwana,umwana
lati1261,fīliafrātris,fīliusfrātris,fīlia,fīlius,filiasororis,filiussororis,fīliafrātris,fīliusfrātris,fīlia,fīlius,filiasororis,filiussororis
latv1249,brāl̩ameita,brāl̩adēls,meita,dēls,brāl̩ameita,brāl̩adēls,brāl̩ameita,brāl̩adēls,meita,dēls,brāl̩ameita,brāl̩adēls
lipa1241,cìját'cì'í,cìɣì'í,cìját'cì'í,cìɣì'í,сìdà'yí',сìdà'yí',cìját'cì'í,cìɣì'í,cìját'cì'í,cìɣì'í,сìdà'yí',сìdà'yí'
lith1251,broliaduktė,brolénas,duktẽ,sūnùs,sesersduktė,seserénas,broliaduktė,brolénas,duktẽ,sūnùs,sesersduktė,seserénas
lozi1239,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana
luba1249,muanawamuan'etu,muanawamuan'etu,muanamulela,muanamulami,muanawamuan'etu,muanawamuan'etu,muanawamuan'etu,muanawamuan'etu,muanamulela,muanamulami,muanawamuan'etu,muanawamuan'etu
luba1250,muana,muana,mwåånåmukaji,mwåånåmulumé,mu-ipwa,mu-ipwa,muana,muana,mwåånåmukaji,mwåånåmulumé,muana,muana
lugu1238,mwana,mwana,mwana,mwana,mhwewe,mhwewe,mwana,mwana,mwana,mwana,mhwewe,mhwewe
luis1253,nuʂmay,nuʂmay,ʂawáa-may,píit,nuʂmay,nuʂmay,nuʂmay,nuʂmay,ʂawáa-may,píit,nuʂmay,nuʂmay
lund1266,mwana,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwana,mwihwa,mwihwa
luva1239,mwana,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwana,mwihwa,mwihwa
luxe1241,niess,neveu,duechter,fils,niess,neveu,niess,neveu,duechter,fils,niess,neveu
mace1250,vnukaodbrat,vnukodbrat,ḱerka,sin,vnukaodsestra,vnukodsestra,vnukaodbrat,vnukodbrat,ḱerka,sin,vnukaodsestra,vnukodsestra
macu1259,passe,poito,u-yensi,un-mu,passe,poito,passe,poito,u-yensi,un-mu,passe,poito
mait1250,bhatiji,bhatija,beṭī,beṭā,bháiginī,bháiginā,bhatiji,bhatija,beṭī,beṭā,bháiginī,bháiginā
mako1251,ndukulumunu,ndukulumunu,mwanankongwe,mwana,ndukulumunu,ndukulumunu,ndukulumunu,ndukulumunu,mwanankongwe,mwana,ndukulumunu,ndukulumunu
mala1468,makal,makan,makal,makan,marumakal,marumakan,marumakal,marumakan,makal,makan,makal,makan
mala1479,anakpenakan,anakpenakan,anak,anak,anakpenakan,anakpenakan,anakpenakan,anakpenakan,anak,anak,anakpenakan,anakpenakan
mang1401,iramutu,iramutu,teitia'ine,tamaroa,iramutu,iramutu,iramutu,iramutu,teitia'ine,tamaroa,iramutu,iramutu
mans1258,eŋk,pant,aɣi,pɨɣ,eŋk,pant,eŋk,pant,aɣi,pɨɣ,eŋk,pant
maor1246,irāmutu,irāmutu,tamāhine,tamaititaane,irāmutu,irāmutu,irāmutu,irāmutu,tamāhine,tamaititaane,irāmutu,irāmutu
mapu1245,malʸeɲawe,pal̯u,ɲawe,fotɨm,malʸeɲawe,pal̯u,malʸeɲawe,pal̯u,ɲawe,fotɨm,malʸeɲawe,pal̯u
maqu1238,hāse,honɨ,nnedɨ,nnedɨ,hāse,honɨ,hāse,honɨ,nnedɨ,nnedɨ,hāse,honɨ
mara1378,putanī,putanyā,lek,lyok,bhāchī,bhāchā,putanī,putanyā,lek,lyok,bhāchī,bhāchā
marw1260,bhatiji,bhatija,beti,beto,bhāṇji,bhānja,bhatiji,bhatija,beti,beto,bhāṇji,bhānja
masa1299,mwana,mwana,umwana,mwanawase,mwiwamwana,mwana,mwana,mwana,umwana,mwanawase,mwiwamwana,mwana
mash1270,paľikľero,paľikľerɨ,šičo~nšičo,tɨrɨ~hitɨrɨ,paľikľero,paľikľerɨ,paľikľero,paľikľerɨ,šičo~nšičo,tɨrɨ~hitɨrɨ,paľikľero,paľikľerɨ
mesc1238,cìdèˑdéˑ',cìdèˑdéˑ',cìyát'cè',cíɣè',cìɣóyé,cìɣóyé,cìdèˑdéˑ',cìdèˑdéˑ',cìyát'cè',cíɣè',cìɣóyé,cìɣóyé
midd1317,nift,neve,dohtor,son,nift,neve,nift,neve,dohtor,son,nift,neve
midd1343,nëvin,œ-heim,tohter,sun,base,œ-heim,nëvin,œ-heim,tohter,sun,base,œ-heim
moco1246,le-teese,le-teesek,lʸ-aale,lʸ-aale-k,le-teese,le-teesek,le-teese,le-teesek,lʸ-aale,lʸ-aale-k,le-teese,le-teesek
mode1248,anipsia,anipsios,kori,yos,anipsia,anipsios,anipsia,anipsios,kori,yos,anipsia,anipsios
mokp1239,mwan'amolana,mwan'amunyana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali,mwan'amolana,mwan'amunyana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali
mong1338,bonankana,bononkana,bona,bona,bononkana,bonankana,bonankana,bononkana,bona,bona,bononkana,bonankana
movi1243,yani-kai,yani-kai,mah-ni,mah-ni,yani-kai,yani-kai,yani-kai,yani-kai,mah-ni,mah-ni,yani-kai,yani-kai
mudb1240,ngalinya,ngalinya,chin3,chin3,tyuka,tyuka,ngalinya,ngalinya,chin3,chin3,tyuka,tyuka
myen1241,oḿwa-oḿwaḿto,oḿwa-onoḿe,nanto,noḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,nanto,noḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe
nene1249,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸenʸu,nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸenʸu,nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu
nepa1254,bhatiji,bhatijo,chori,sānukāncho,bhānji,bhānij,bhatiji,bhadoho,chori,sānukāncho,choori,chhora
ngam1265,padi,padi,ngathani,ngathanda,padi,parrarri,padi,padi,ngathani,ngathanda,padi,parrarri
ngar1235,ngalawiny,ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu,ngalawiny,ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu
ngar1287,ngarraya,thuwa,kurntal,manyka,ngatyala,ngatyala,ngarraya,thuwa,kurntal,manyka,ngatyala,ngatyala
