"Glottocode","meB","meZ","mFBD","mFBeD","mFBeS","mFBS","mFByD","mFByS","mFeBD","mFeBS","mFeZD","mFeZS","mFyBD","mFyBS","mFyZD","mFyZS","mFZD","mFZeD","mFZeS","mFZS","mFZyD","mFZyS","mMBD","mMBeD","mMBeS","mMBS","mMByD","mMByS","mMeBD","mMeBS","mMeZD","mMeZS","mMyBD","mMyBS","mMyZD","mMyZS","mMZD","mMZeD","mMZeS","mMZS","mMZyD","mMZyS","myB","myZ","weB","weZ","wFBD","wFBeD","wFBeS","wFBS","wFByD","wFByS","wFeBD","wFeBS","wFeZD","wFeZS","wFyBD","wFyBS","wFyZD","wFyZS","wFZD","wFZeD","wFZeS","wFZS","wFZyD","wFZyS","wMBD","wMBeD","wMBeS","wMBS","wMByD","wMByS","wMeBD","wMeBS","wMeZD","wMeZS","wMyBD","wMyBS","wMyZD","wMyZS","wMZD","wMZeD","wMZeS","wMZS","wMZyD","wMZyS","wyB","wyZ"
luba1249,mukulu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muakunyi,mukulu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muakunyi
mace1250,bátko,ceca,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,brat,sestra,bátko,ceca,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,brat,sestra
mait1250,bháiyā,didi,pitiaut-bahan,pitiaut-bahan,pitiaut-bhai,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pisiáut bahin,pisiáut bhāy,pitiaut-bahan,pitiaut-bhai,pisiáut bahin,pisiáut bhāy,pisiáut bahin,pisiáut bahin,pisiáut bhāy,pisiáut bhāy,pisiáut bahin,pisiáut bhāy,mamiáut bahin,mamiáut bahin,mamiáut bhāy,mamiáut bhāy,mamiáut bahin,mamiáut bhāy,mamiáut bahin,mamiáut bhāy,masiáut bahin,masiáut bhāy,mamiáut bahin,mamiáut bhāy,masiáut bahin,masiáut bhāy,masiáut bahin,masiáut bahin,masiáut bhāy,masiáut bhāy,masiáut bahin,masiáut bhāy,bhāy,bahīn,bháiyā,didi,pitiaut-bahan,pitiaut-bahan,pitiaut-bhai,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pisiáut bahin,pisiáut bhāy,pitiaut-bahan,pitiaut-bhai,pisiáut bahin,pisiáut bhāy,pisiáut bahin,pisiáut bahin,pisiáut bhāy,pisiáut bhāy,pisiáut bahin,pisiáut bhāy,mamiáut bahin,mamiáut bahin,mamiáut bhāy,mamiáut bhāy,mamiáut bahin,mamiáut bhāy,mamiáut bahin,mamiáut bhāy,masiáut bahin,masiáut bhāy,mamiáut bahin,mamiáut bhāy,masiáut bahin,masiáut bhāy,masiáut bahin,masiáut bahin,masiáut bhāy,masiáut bhāy,masiáut bahin,masiáut bhāy,bhāy,bahīn
mako1251,numbumbunu,numbumbunu,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,numbumbunu,numbumbunu,numbumbunu,numbumbunu,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,kaka walikola,numbumbunu,numbumbunu
mala1479,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek
mans1258,yaɣpɨɣ,yaɣaɣi,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,apsʸi,esʸ,yaɣpɨɣ,yaɣaɣi,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,aŋkwpɨɣ,apsʸi,esʸ
mapu1245,lamŋen,lamŋen,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,inan peɲi,inan lamŋen,lamŋen,lamŋen,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,mɨn̯a,inan lamŋen,inan lamŋen
mara1378,dādā,ākkā,chulat-bahiṇa,chulat-bahiṇa,chulat-bhāū,chulat-bhāū,chulat-bahiṇa,chulat-bhāū,chulat-bahiṇa,chulat-bhāū,mehuṇi,mehuṇā,chulat-bahiṇa,chulat-bhāū,mehuṇi,mehuṇā,mehuṇi,mehuṇi,mehuṇā,mehuṇā,mehuṇi,mehuṇā,mahuṇī,mahuṇī,mehuṇā,mehuṇā,mahuṇī,mehuṇā,mahuṇī,mehuṇā,māus-bahiṇa,māwas bhāū,mahuṇī,mehuṇā,māus-bahiṇa,māwas bhāū,māus-bahiṇa,māus-bahiṇa,māwas bhāū,māwas bhāū,māus-bahiṇa,māwas bhāū,bhāū,bahiṇa,aṇṇā,ākkā,chulat-bahiṇa,chulat-bahiṇa,chulat-bhāū,chulat-bhāū,chulat-bahiṇa,chulat-bhāū,chulat-bahiṇa,chulat-bhāū,mehuṇi,mehuṇā,chulat-bahiṇa,chulat-bhāū,mehuṇi,mehuṇā,mehuṇi,mehuṇi,mehuṇā,mehuṇā,mehuṇi,mehuṇā,mahuṇī,mahuṇī,mehuṇā,mehuṇā,mahuṇī,mehuṇā,mahuṇī,mehuṇā,māus-bahiṇa,māwas bhāū,mahuṇī,mehuṇā,māus-bahiṇa,māwas bhāū,māus-bahiṇa,māus-bahiṇa,māwas bhāū,māwas bhāū,māus-bahiṇa,māwas bhāū,bhāū,bahiṇa
masa1299,yaaya umu-khulu,wandaya umu-khulu,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya umu-keehe,wandaya umu-keehe,wandaya umu-khulu,wandayase umu-khulu,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,wandaya umu-keehe,wandayase umu-keehe
mbal1257,yaaya,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,galeengi,yaaya,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,galeengi
mesc1238,cìkìs,cílà',cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cìɣóyé,cìɣóyé,cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cìɣóyé,cìɣóyé,cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà'
mido1240,édí,édí,ánɟínássí,édí,édí,ánɟínúʃí,ánɟínássí,ánɟínúʃí,ánɟínássí,ánɟínúʃí,áɲɲínássí,áɲɲínúʃí,ánɟínássí,ánɟínúʃí,áɲɲínássí,áɲɲínúʃí,áɲɲínássí,édí,édí,áɲɲínúʃí,áɲɲínássí,áɲɲínúʃí,tízzínássí,édí,édí,tízzínúʃí,tízzínássí,tízzínúʃí,tízzínássí,tízzínúʃí,éŋéʃínássí,éŋéʃínúʃí,tízzínássí,tízzínúʃí,éŋéʃínássí,éŋéʃínúʃí,éŋéʃínássí,édí,édí,éŋéʃínúʃí,éŋéʃínássí,éŋéʃínúʃí,úmbèskà,úmbèskà,édí,édí,ánɟínássí,édí,édí,ánɟínúʃí,ánɟínássí,ánɟínúʃí,ánɟínássí,ánɟínúʃí,áɲɲínássí,áɲɲínúʃí,ánɟínássí,ánɟínúʃí,áɲɲínássí,áɲɲínúʃí,áɲɲínássí,édí,édí,áɲɲínúʃí,áɲɲínássí,áɲɲínúʃí,tízzínássí,édí,édí,tízzínúʃí,tízzínássí,tízzínúʃí,tízzínássí,tízzínúʃí,éŋéʃínássí,éŋéʃínúʃí,tízzínássí,tízzínúʃí,éŋéʃínássí,éŋéʃínúʃí,éŋéʃínássí,édí,édí,éŋéʃínúʃí,éŋéʃínássí,éŋéʃínúʃí,úmbèskà,úmbèskà
moco1246,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo
mode1248,adhelphos,adelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,adhelphos,adelphi,adhelphos,adelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,adhelphos,adelphi
mokp1239,mólúlu,mólúlu,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,enongoni,enongoni,mólúlu,mólúlu,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,enongoni,enongoni
mong1338,nsómí,nsómí,nkåna,nkåna,botomolo,nkana,nkåna,bokume,nkåna,nkana,nkaneomoto,nkaneomoto,nkåna,nkana,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkana,bona,bona,nkana,bona,bona,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokume,nkåna,nsómí,nsómí,nkåna,nkåna,botomolo,nkana,nkåna,bokume,nkåna,nkana,nkaneomoto,nkaneomoto,nkåna,nkana,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkana,bona,bona,nkana,bona,bona,nkana,nkana,nkaneomoto,nkaneomoto,nkana,nkana,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,bokume,nkaneomoto
mpuo1241,yây,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,ʊkↄ:m,yây,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,ʊkↄ:m
nege1244,bru,šiši,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,bru,šiši,bru,šiši,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,gizin ~ kizin ~ kuzin,bru,šiši
niue1239,taokete,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,tehina,mahakainaga,mahakainaga,taokete,matakainaga,taokete,mahakainaga,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,taokete,mahakainaga,mahakainaga,tehina,mahakainaga,matakainaga,taokete,mahakainaga,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,taokete,mahakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,tehina
noga1249,кардаш,синъли,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,ини,карындас,кардаш,синъли,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,аркалдас,ини,карындас
nort2641,bra,xuşkê,dotmam,dotmam,pismam,pismam,dotmam,pismam,dotmam,pismam,keçmetî,kûrêmetî,dotmam,pismam,keçmetî,kûrêmetî,keçmetî,keçmetî,kûrêmetî,kûrêmetî,keçmetî,kûrêmetî,dotxal,dotxal,pisxal,pisxal,dotxal,pisxal,dotxal,pisxal,dotxolat,pisxolat,dotxal,pisxal,dotxolat,pisxolat,dotxolat,dotxolat,pisxolat,pisxolat,dotxolat,pisxolat,bra,xuşkê,bra,xuşkê,dotmam,dotmam,pismam,pismam,dotmam,pismam,dotmam,pismam,keçmetî,kûrêmetî,dotmam,pismam,keçmetî,kûrêmetî,keçmetî,keçmetî,kûrêmetî,kûrêmetî,keçmetî,kûrêmetî,dotxal,dotxal,pisxal,pisxal,dotxal,pisxal,dotxal,pisxal,dotxolat,pisxolat,dotxal,pisxal,dotxolat,pisxolat,dotxolat,dotxolat,pisxolat,pisxolat,dotxolat,pisxolat,bra,xuşkê
