feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
kave,taina,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,taina,kave,sika1261
jeṭhu,dādī,sauṭi,sauṭo,sauṭi,sauṭo,puphāṭī,puphāṭu,puphāṭī,puphāṭu,māroṭi,māroṭu,māroṭi,māroṭu,māsāti,masātu,māsāti,masātu,bhāu,bheṇu,jeṭhu,dādī,sauṭi,sauṭo,sauṭi,sauṭo,puphāṭī,puphāṭu,puphāṭī,puphāṭu,māroṭi,māroṭu,māroṭi,māroṭu,māsāti,masātu,māsāti,masātu,bhāu,bheṇu,sind1272
ayya,akka,akka,aiya,naƞgi,malli,næna,massina,næna,massina,næna,massina,næna,massina,akka,aiya,naƞgi,malli,malli,nangi,ayya,akka,akka,aiya,naƞgi,malli,næna,massina,næna,massina,næna,massina,næna,massina,akka,aiya,naƞgi,malli,malli,nangi,sinh1246
wo-těko-ko,wo-tětseay-tseay,wo-tětang-tsze-mei,wo-tětang-heung-te,wo-těe-tang-tsze-mei,wo-tětang-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těe-peaon-tsze-mei,wo-těe-peason-heung-te,wo-těe-peaon-tsze-mei,wo-těe-peaon-heung-te,wo-těheung-te,wo-těmei-mei,wo-těko-ko,wo-tětseay-tseay,wo-tětang-tse-mei,wo-tětang-heung-te,wo-těe-tang-tsze-mei,wo-tětang-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těpeaon-tsze-mei,wo-těpeaon-heung-te,wo-těe-peaon-tsze-mei,wo-těe-peason-heung-te,wo-těe-peaon-tsze-mei,wo-těe-peaon-heung-te,wo-těheung-te,wo-těmei-mei,sini1245
kǔnʼ-dig-eh,säʼ-dä,säʼ-da,kǔnʼ-dig-eh,a-daʼ-zy,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,a-daʼ-ze,kǔnʼ-dig-eh,säʼ-dä,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-zy,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,a-daʼ-ze,slav1253
brȁt,séstra,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brȁt,séstra,brȁt,séstra,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brȁt,séstra,slov1268
brat,sestra,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,brat,sestra,brat,sestra,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,brat,sestra,slov1269
mwanhinaomukulu,mugandaomukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,muganda,mugandaomukulu,mwanhinaomukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,mwanhina,soga1242
amuk,isaŋ,isaŋ,amuk,isaŋ,amuk,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,isaŋ,amuk,isaŋ,amuk,amuk,ñama,isaŋ,mɨr,mɨr,isaŋ,mɨr,isaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,midaŋ,mɨr,isaŋ,mɨr,isaŋ,ñama,mɨr,soge1235
yéy,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,lék,yéy,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,lék,song1299
meaŋa-i,meaŋa-i,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,meaŋa-i,meaŋa-i,keinapa,meaŋa-i,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,bwidi,widi,meaŋa-i,sons1242
brat,sestra,stričevična,bratodstrica,stričevična,bratodstrica,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke,sestraodujaka,bratodujaka,sestraodujaka,bratodujaka,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke,brat,sestra,brat,sestra,stričevična,bratodstrica,stričevična,bratodstrica,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke,sestraodujaka,bratodujaka,sestraodujaka,bratodujaka,sestraodtetke,bratodtetke,sestraodtetke,bratodtetke,brat,sestra,sout1528
tai,tetkpur,tetkpur,tai,tetses,taises,tetkpur,tai,tetses,taises,tetkpur,tai,tetses,taises,tetkpur,tai,tetses,taises,taises,tetses,taik͡pur,tetk͡pur,tetkpur,tai,tetses,taises,tetkpur,tai,tetses,taises,tetkpur,tai,tetses,taises,tetkpur,tai,tetses,taises,taisɛs,tetses,sout2856
hinne,tu,tu,hinne,tu,hinne,avukokon,mase,avukokon,mase,avukokon,mase,avukokon,mase,tu,hinne,tu,hinne,hinne,tu,tu,hinne,hinne,tu,hinne,tu,avukokon,mase,avukokon,mase,avukokon,mase,avukokon,mase,hinne,tu,hinne,tu,tu,hinne,sout2859
tuangane,loko,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,tuangane,loko,loko,tuangane,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,tuangane,taina,loko,tuangane,sout2865
kakə,p̃ia,p̃iakarɨn,kaka,p̃iakarɨn,kaka,kapaier,kapaier,kapaier,kapaier,kapaier,kapaier,kapaier,kapaier,p̃iakarɨn,kaka,p̃iakarɨn,kaka,kakə,p̃ia,p̃ia,kakə,kaka,p̃iakarɨn,kaka,p̃iakarɨn,kapaier,kapaier,kapaier,kapaier,kapaier,kapaier,kapaier,kapaier,kaka,p̃iakarɨn,kaka,p̃iakarɨn,p̃ia,kakə,sout2869
gundee,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechie,sedéa,gundee,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechie,sedéa,sout2959
xiix,xiix,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,xiku,mia'njaduuñ,xiix,xiix,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,mia'njaduuñ,xiku,mia'njaduuñ,sout2976
hermanomayor,hermanamayor,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,hermanomenor,hermanamenor,hermanomayor,hermanamayor,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,hermanomenor,hermanamenor,stan1288
germà,germana,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,germà,germana,germà,germana,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,germà,germana,stan1289
ainé,ainée,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,frère,soeur,ainé,ainée,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,frère,soeur,stan1290
ˈbɹʌðə,sĭs'tər,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈbɹʌðə,sĭs'tər,ˈbɹʌðə,sĭs'tər,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈkʌzn,ˈbɹʌðə,sĭs'tər,stan1293
bʀuːdɐ,ˈʃvɛstɐ,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,bʀuːdɐ,ˈʃvɛstɐ,bʀuːdɐ,ˈʃvɛstɐ,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,kuˈziːnə,kuˈzɛ̃ː,bʀuːdɐ,ˈʃvɛstɐ,stan1295
æːx,ʔxt,ʔbnlʕɑm,ʔbnlʕɑm,ʔbnlʕɑm,ʔbnlʕɑm,ʔbnlxɑːl,ʔbnlxɑːl,ʔbnlxɑːl,ʔbnlxɑːl,bntlʕɑm,bntlʕɑm,bntlʕɑm,bntlʕɑm,bntlxɑːl,bntlxɑːl,bntlxɑːl,bntlxɑːl,æːx,ʔxt,æːx,ʔxt,ʔbnlʕɑm,ʔbnlʕɑm,ʔbnlʕɑm,ʔbnlʕɑm,ʔbnlxɑːl,ʔbnlxɑːl,ʔbnlxɑːl,ʔbnlxɑːl,bntlʕɑm,bntlʕɑm,bntlʕɑm,bntlʕɑm,bntlxɑːl,bntlxɑːl,bntlxɑːl,bntlxɑːl,æːx,ʔxt,stan1323
yâya,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangiyakala,múkomba,yâya,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,mpanginkento,suku1259
lóa,ngóranãm,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,lóa,ngármẽy,ngóranãm,mahd,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,máyxán,ngármẽy,mahd,suru1262
aʔ5kəu55,aʔ5tsiɑ51,dɑ᷈13tsiɑ51-21,dɑ᷈13ɕioŋ55-21,dɑ᷈13mᴇ31-21,dɑ᷈13di31-21,piæ51tsiɑ51-21,piæ51kəu55-31,piæ51mᴇ31-21,piæ51di31-21,piæ51tsiɑ51-21,piæ51kəu55-31,piæ51mᴇ31-21,piæ51di31-21,piæ51tsiɑ51-21,piæ51kəu55-31,piæ51mᴇ31-21,piæ51di31-21,阿弟,mᴇ31-13tsɿ,aʔ5kəu55,aʔ5tsiɑ51,dɑ᷈13tsiɑ51-21,dɑ᷈13ɕioŋ55-21,dɑ᷈13mᴇ31-21,dɑ᷈13di31-21,piæ51tsiɑ51-21,piæ51kəu55-31,piæ51mᴇ31-21,piæ51di31-21,piæ51tsiɑ51-21,piæ51kəu55-31,piæ51mᴇ31-21,piæ51di31-21,piæ51tsiɑ51-21,piæ51kəu55-31,piæ51mᴇ31-21,piæ51di31-21,阿弟,mᴇ31-13tsɿ,suzh1234
bror,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngrebror,yngresyster,bror,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngrebror,yngresyster,swed1254
tayali,tayali,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,tayali,tayali,tayali,tayali,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,talagbáy,tayali,tayali,tady1237
kapatid,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,kapatid,kapatid,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,kapatid,taga1270
tu'ane,tua'ana,tua'ana,tu'ane,tainatuahine,tu'ane,tua'ana,tu'ane,tainatuahine,tu'ane,tua'ana,tu'ane,tainatuahine,tu'ane,tua'ana,tu'ane,tainatuahine,tu'ane,tu'ane,tainatuahine,tua'ana,tua-hine,tua-hine,tua'ana,tua-hine,teinatu'ane,tua-hine,tua'ana,tua-hine,teinatu'ane,tua-hine,tua'ana,tua-hine,teinatu'ane,tua-hine,tua'ana,tua-hine,teinatu'ane,teinatu'ane,tua-hine,tahi1242
sia'ang,sia'ang,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,tuai,tuai,sia'ang,sia'ang,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,tuai,tuai,taje1237b
sia'a,sia'a,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,tuai,tuai,sia'a,sia'a,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,rurussangganing,tuai,tuai,taji1246
lu-,tei-,tei-,lu-,tei-,lu-,nkol,lu-,nkol,lu-,nkol,lu-,nkol,lu-,tei-,lu-,tei-,lu-,lu-,tei-,tei-,lu-,lu-,tei-,lu-,tei-,lu-,tei-,lu-,tei-,lu-,tei-,lu-,tei-,lu-,tei-,lu-,tei-,tei-,lu-,taki1248
vavinena,kasinadaki,kasinadaki,vavinena,kasinadaki,vavinena,kasinadaki,vavinena,kasinadaki,vavinena,kasinadaki,vavinena,kasinadaki,vavinena,kasinadaki,vavinena,kasinadaki,vavinena,vavinena,kasinadaki,kasinagare,vavinena,vavinena,kasinagare,vavinena,kasinagare,vavinena,kasinagare,vavinena,kasinagare,vavinena,kasinagare,vavinena,kasinagare,vavinena,kasinagare,vavinena,kasinagare,kasinagare,vavinena,tali1259
entǎmaiyan,enakkäl,enakkärl,entǎmaiyǎn,entangaichchi,entambi,enmǎchchi,enmǎchchǎn,enmǎchchi,enmǎchchǎn,enmǎchchärl,enmǎchchǎn,enmǎchchärl,enmǎchchǎn,enakkärl,entǎmaiyǎn,entangǎichchi,entambi,entambí,entangaichchi,entǎmaiyan,enakkärl,enakkärl,entǎmaiyan,entangaichchi,entambi,enmǎittuni,enattän,enmǎittuni,enattän,enmǎittǔni,enmǎittǔnǎn,enmǎittuni,enmǎittǔnǎn,enakkärl,entǎmaiyǎn,entangǎichchi,entambi,entambí,entangaichchi,tami1289
analahy,rahavavy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,analahy,analahy,rahavavy,rahalahy,anakavy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,rahalahy,anakavy,tana1285
che-kuwyra,che-rykera,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-rykera,che-kuwyra,che-kypýura,che-kuwyra,che-kuwyra,che-kypýura,che-rikayra,che-rinyra,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-rinyra,che-rikayra,che-rinyra,che-riwyra,che-riwyra,che-rinyra,tapi1254
ŋmano,ina,naru,naru,naru,naru,apogbwa,apogbwa,apogbwa,apogbwa,apogbwa,apogbwa,apogbwa,apogbwa,naru,naru,naru,naru,ŋmano,ina,ruelxi,vino,naru,naru,naru,naru,miaru,miaru,miaru,miaru,miaru,miaru,miaru,miaru,naru,naru,naru,naru,ruelxi,vino,tasi1237
kaka,kaka,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,kaka,kaka,kaka,kaka,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,tüngud,kaka,kaka,taus1251
magulang,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,manghud,magulang,magulang,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,patungud,manghud,manghud,taus1251a
gō,gō,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,gō,gō,gō,gō,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,gō,gō,tehu1242
annǎ,ǎkkǎ,akkǎ,annǎ,chěllělǔ,támmǔlǔ,vǎdǐně,märǎdǐ,mǎrǎdǎlǔ,märǎdi,vadine,bävä,mǎrǎdǎlǔ,märǎdi,akkǎ,annǎ,chěllělǔ,támmǔdǔ,tǎmmǔdǔ,chěllělǔ,annǎ,ǎkkǎ,akkǎ,annǎ,chěllělǔ,támmǔlǔ,vǎdǐně,bävǎ,mǎrǎdǎlǔ,bävǎ,vǎdǐně,bävǎ,mǎrǎdǎlǔ,märǎdǐ,akkǎ,annǎ,chěllělǔ,támmǔdǔ,tǎmmǔdǔ,chěllělǔ,telu1262
he-kiwyra,he-rikéra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-kiwyra,he-kipiyra,he-rikiyra,he-reinyra,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-reinyra,he-rikiyra,he-reinyra,he-riwyra,he-riwyra,he-reinyra,temb1276
-reky'yra-,-rendyr-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-rey'reta-,-rendyr-,-reky'yra-,-rendyr-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,-rey'reta-,-rendyr-,tenh1241
maun,biin,biin,maun,alin,alin,prima,primu,prima,primu,prima,primu,prima,primu,biin,maun,alin,alin,alin,alin,maun,biin,biin,maun,alin,alin,prima,primu,prima,primu,prima,primu,prima,primu,biin,maun,alin,alin,alin,alin,tetu1246
minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,thao1240
kave,taina,kave,kave,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,taina,taina,kave,taina,kave,taina,kave,taina,taina,kave,kave,taina,kave,taina,kave,taina,taina,kave,tiko1237
kave,taina,tainafaka-laui,kavefaka-laui,tainafaka-laui,kavefaka-laui,tainafaka-pariki,kavefaka-pariki,tainafaka-pariki,kavefaka-pariki,tainafaka-pariki,kavefaka-pariki,tainafaka-pariki,kavefaka-pariki,tainafaka-laui,kavefaka-laui,tainafaka-laui,kavefaka-laui,kave,taina,taina,kave,kavefaka-laui,tainafaka-laui,kavefaka-laui,tainafaka-laui,kavefaka-pariki,tainafaka-pariki,kavefaka-pariki,tainafaka-pariki,kavefaka-pariki,tainafaka-pariki,kavefaka-pariki,tainafaka-pariki,kavefaka-laui,tainafaka-laui,kavefaka-laui,tainafaka-laui,taina,kave,tiko1237a
wangbanuvesen,wangbanuvesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangbanukiriki,wangbanukiriki,wangbanuvesen,wangbanuvesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangbanukiriki,wangbanukiriki,tivv1240
doqora,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqora,doqora,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqora,toab1237
ỹapichaqa',ỹapilte,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,ỹapichaqa',ỹapilte,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,toba1269
an,akkā,mociny,mociny,mociny,mociny,matchuni,matchuni,matchuni,matchuni,matchuni,matchuni,matchuni,matchuni,mociny,mociny,mociny,mociny,nodrved,nodrvedkugh,an,akkā,mociny,mociny,mociny,mociny,matchuni,matchuni,matchuni,matchuni,matchuni,matchuni,matchuni,matchuni,mociny,mociny,mociny,mociny,nodrved,nodrvedkugh,toda1252
sista,barata,barata,sista,barata,sista,kasen,kasen,kasen,kasen,kasen,kasen,kasen,kasen,barata,sista,barata,sista,sista,barata,barata,sista,sista,barata,sista,barata,kasen,kasen,kasen,kasen,kasen,kasen,kasen,kasen,sista,barata,sista,barata,barata,sista,tokp1240
kaka,kaka,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,andi,andi,kaka,kaka,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,andi,andi,tola1247
