fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
bājē,bajyai,bājē,bajyai,bājē,bajyai,bājē,bajyai,east1436
pˀapˀ,tˀatˀ,pˀapˀ,tˀatˀ,pˀapˀ,tˀatˀ,pˀapˀ,tˀatˀ,east2283
zejde,bobe,zejde,bobe,zejde,bobe,zejde,bobe,east2295
tubu-,tubu-,tubu-,tubu-,tubu-,tubu-,tubu-,tubu-,east2443
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,east2447
kakua,ayaa,kakua,ayaa,kakua,ayaa,kakua,ayaa,east2516
t-amɨ̃i-r-amɨ̃i,ǰarɨ,t-amɨ̃i-r-amɨ̃i,ǰarɨ,t-amɨ̃i-r-amɨ̃i,ǰarɨ,t-amɨ̃i-r-amɨ̃i,ǰarɨ,east2555
nkökö,nkökönyango,nkökö,nkökönyango,nkökö,nkökönyango,nkökö,nkökönyango,ekon1238
tupu,tupu,tupu,tupu,tupu,tupu,tupu,tupu,emae1237
mama,tiya,pua,tiya,mama,tiya,pua,tiya,emau1237
tamutsi,tsa'i,tamutsi,tsa'i,tamutsi,tsa'i,tamutsi,tsa'i,emer1243
masar,kak,masar,kak,masar,kak,masar,kak,ende1235
kasua,ayaa,kasua,ayaa,kasua,ayaa,kasua,ayaa,erav1244
bodʸa,sɨr̃ʸebaba,bodʸa,sɨr̃ʸebaba,bodʸa,sɨr̃ʸebaba,bodʸa,sɨr̃ʸebaba,erzy1239
wanaisa,wanaema,wanaisa,wanaema,wanaisa,wanaema,wanaisa,wanaema,esto1258
’uhshiyah,k’inhshiyah,’weeshgashiyah,chuushiyah,’uhshiyah,k’inhshiyah,’weeshgashiyah,chuushiyah,eyak1241
mwam,mwam,mwam,mwam,mwam,mwam,mwam,mwam,fang1246
mo'ondʉ́e,maáńdʉe,mbega,maáńdʉe,mo'ondʉ́e,maáńdʉe,mbega,maáńdʉe,fefe1239
tubuqu,buqu,tukaqu,buqu,tubuqu,buqu,tukaqu,buqu,fiji1243
isänisä,isänäiti,äidinisä,äidinäiti,isänisä,isänäiti,äidinisä,äidinäiti,finn1318
ïtaatakulu,ïmaangukulu,ïtaatakulu,ïmaangukulu,ïtaatakulu,ïmaangukulu,ïtaatakulu,ïmaangukulu,fipa1238
purukayi,tapikayi,putyikayi,tatyikayi,purukayi,tapikayi,putyikayi,tatyikayi,flin1247
pupu,koukou,pupu,koukou,mapi-,koukou,pupu,koukou,fort1240
pake,beppe,pake,beppe,pake,beppe,pake,beppe,fris1239
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,futu1245
afu,afu,afu,afu,afu,afu,afu,afu,gada1258
oete,ede,oete,ede,oete,ede,oete,ede,gale1259
tamuru,notï,tamuru,notï,tamuru,notï,tamuru,notï,gali1262
t̪ilaːkaː,maːmaː,t̪aːt̪aː,kaːt̪iː,t̪ilaːkaː,maːmaː,t̪aːt̪aː,kaːt̪iː,gami1243
jjajja,jjajja,jjajja,jjajja,jjajja,jjajja,jjajja,jjajja,gand1255
nenigai,nenewan,nenigai,nenewan,nenigai,nenewan,nenigai,nenewan,gane1237
kaŋku,papicu,campaṱu,ŋaricu,kaŋku,papicu,campaṱu,ŋaricu,gang1267
kaŋkalityu,papityu,tyampat̪u,ŋarityu,kaŋkalityu,papityu,tyampat̪u,ŋarityu,gang1267a
awanpedih,ananpedih,awanalik,ananalik,awanpedih,ananpedih,awanalik,ananalik,gayo1244
kukua,kukua,kukua,kukua,kukua,kukua,kukua,kukua,gela1263
ts'awe,hawe,ts'awe,hawe,ts'awe,hawe,ts'awe,hawe,giry1241
kuku,mama,kuku,mama,kuku,mama,kuku,mama,gogo1263
vahi,vahi,vahi,vahi,vahi,vahi,vahi,vahi,gras1249
