fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
ah-tä-tǎ-tcha-wǎ,a-nä-nǎ-tchayǎ,ah-tä-tǎ-tcha-wǎ,a-nä-nǎ-tchayǎ,ah-tä-tǎ-tcha-wǎ,a-nä-nǎ-tchayǎ,ah-tä-tǎ-tcha-wǎ,a-nä-nǎ-tchayǎ,west2618
naʼ-nǎ-hash-te,päʼ-pä-kee-yonʼ,naʼ-nǎ-hash-te,päʼ-pä-kee-yonʼ,naʼ-nǎ-hash-te,päʼ-pä-kee-yonʼ,naʼ-nǎ-hash-te,päʼ-pä-kee-yonʼ,west2632
tipɨ,tipɨ,tipɨ,tipɨ,tipɨ,tipɨ,tipɨ,tipɨ,whit1269
-čo'ti,-kate'la,-čo'ti,-kate'la,-čo'ti,-kate'la,-čo'ti,-kate'la,wich1264
puulwuut,ngaty,ngaty,kemwayyow,puulwuut,ngaty,ngaty,kemwayyow,wikm1247
e-choʼ-ka,e-koʼ-ro-ka,e-choʼ-ka,e-koʼ-ro-ka,e-choʼ-ka,e-koʼ-ro-ka,e-choʼ-ka,e-koʼ-ro-ka,winn1245
papiinpal,paathin,ngapun,kuninarrung,papiinpal,paathin,ngapun,kuninarrung,wira1262
pakarli,kaparli,pakarli,kaparli,pakarli,kaparli,pakarli,kaparli,wira1265
pue,pue,pue,pue,pue,pue,pue,pue,wiwi1237
yibitcotc,yidokotck,yibitcotc,yidokotck,yibitcotc,yidokotck,yibitcotc,yidokotck,wiyo1248
tubu,tubu,tubu,tubu,tubu,tubu,tubu,tubu,woge1237
temattema-,sinisila-,temattema-,sinisila-,temattema-,sinisila-,temattema-,sinisila-,wole1240
opua,opua,opua,opua,opua,opua,opua,opua,woli1241
ne-mo-shomeʼ,no-kome',ne-mo-shomeʼ,no-kome',ne-mo-shomeʼ,no-kome',ne-mo-shomeʼ,no-kome',wood1236
kupa,kumpu,ngatyi,papi,kupa,kumpu,ngatyi,papi,wulg1239
hä-shu-täʼ,ah-shu-täʼ,hä-shu-täʼ,ah-shu-täʼ,hä-shu-täʼ,ah-shu-täʼ,hä-shu-täʼ,ah-shu-täʼ,wyan1247
nunũũ,çamwãça,nunũũ,çamwãça,nunũũ,çamwãça,nunũũ,çamwãça,xara1244
eyi',mame',goleeyi',golemame',eyi',mame',goleeyi',golemame',xibe1242
dêbuŋac,dêbuò,dêbuŋac,dêbuò,dêbu,dêbuò,dêbuŋac,dêbuò,yabe1254
worad'a,aped'olbo,atira,amid'a,worad'a,aped'olbo,atira,amid'a,yadh1237
kagwa,ka,kagwa,ka,kagwa,ka,kagwa,ka,yagw1240
kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,yaka1272
apu,apu,apu,apu,apu,apu,apu,apu,yaka1277
na-poosʼ-as,nä-ahʼläs,na-poosʼ-as,nä-ahʼläs,na-poosʼ-as,nä-ahʼläs,na-poosʼ-as,nä-ahʼläs,yaki1237
mutyu,papu,tyatyityi,mutyu,mutyu,papu,tyatyityi,mutyu,yala1262
mutju,papipi,tatjitji,mutju,mutju,papipi,tatjitji,mutju,yala1262a
ušwam,kuluna,ušwam,kuluna,ušwam,kuluna,ušwam,kuluna,yama1264
akay,akes,akay,akes,akay,akes,akay,akes,yami1254
tyindrra,kami,ngadrra,kayakaya,tyindrra,kami,ngadrra,kayakaya,yand1253
tjindra,kami,papa,kanyini,tjindra,kami,papa,kanyini,yand1253a
ãi-wə,ami-wə,ãi-wə,ami-wə,ãi-wə,ami-wə,ãi-wə,ami-wə,yano1262
murimuri,ngapurti,mimi,kuku,murimuri,ngapurti,mimi,kuku,yany1243
tusimi,siyumi,tusimi,siyumi,tusimi,siyumi,tusimi,siyumi,yavi1244
kââkââ,kââpyââ,kââkââ,kââpyââ,kââkââ,kââpyââ,kââkââ,kââpyââ,yele1255
kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,yelm1242
jejava,jejammo,thato,jamma,jejava,jejammo,thato,jamma,yeru1240
kamin,papim,ngatyim,kumpu,kamin,papim,ngatyim,kumpu,yidi1250
gamin,babim,ngajim,gumbu,gamin,babim,ngajim,gumbu,yidi1250a
maalaarra,kawarli,thami,kantharraarra,maalaarra,kawarli,thami,kantharraarra,yind1247
yaya,yaya,yaya,yaya,yaya,yaya,yaya,yaya,yomb1244
dhamala,dhamala-nhanha,dhamala,dhamala-nhanha,dhamala,dhamala-nhanha,dhamala,dhamala-nhanha,yort1237
ŋadhaŋ,kami,ŋadhaŋ,kami,ŋadhaŋ,kami,ŋadhaŋ,kami,yuga1244
ngathang,kami,ngathang,kami,ngathang,kami,ngathang,kami,yugu1249
ipik,ipep,ios,idit,ipik,ipep,ios,idit,yuki1243b
yapayi,nyamu,nyamu,yapayi,yapayi,nyamu,nyamu,yapayi,yulp1239
pëpë,tejte,pëpë,tejte,pëpë,tejte,pëpë,tejte,yura1255
nepits,nekuts,nepits,nekuts,nepits,nekuts,nepits,nekuts,yuro1248
ʰlai,abã,ʰlai,abã,ʰlai,abã,ʰlai,abã,yuwa1244
kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,zaba1237
baba,wau,baba,wau,baba,wau,baba,wau,zigu1242
guku,kaaka,guku,kaaka,guku,kaaka,guku,kaaka,zinz1238
u-bä'-bäkǔ'-lǔ,u-mä'-mekǔlǔ,u-bä'-bäkǔ'-lǔ,u-mä'-mekǔlǔ,u-bä'-bäkǔ'-lǔ,u-mä'-mekǔlǔ,u-bä'-bäkǔ'-lǔ,u-mä'-mekǔlǔ,zulu1248
nana,hotta,nana,hotta,nana,hotta,nana,hotta,zuni1245
