fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,bann1247
ivádö,imido'’,imido'’,ivádö,itu'a,itu'a,imido'’,imido'’,ivádö,itu'a,ivádö,ivádö,itu'a,inanák`ws,inanák,itu'a,ivádö,itu'a,inanák`ws,inanák,bann1248
po,a:la,a:la,po,po,po,a:la,a:la,po,po,a:la,a:la,a:la,po,po,a:la,a:la,a:la,po,po,bard1254
anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,anak,anakmenakan,anakmenakan,anakmenakan,anakmenakan,bari1288
al'haba,lʸoba,lʸoba,lʸoba,lʸoba,ṣeme,lʸoba,lʸoba,lʸoba,lʸoba,al'haba,lʸoba,lʸoba,lʸoba,lʸoba,ṣeme,lʸoba,lʸoba,lʸoba,lʸoba,basq1248
bana,bandoméyanditodantoduami,bandoméyamomodantoduami,banyangwéyanditodasita,banyangwéyamomodasita,bana,bandoméyanditodandembéami,bandoméyamomodandembéami,banyangwéyandito,banyangwéyamomo,bana,bandoméyanditodantoduami,bandoméyamomodantoduami,banyangwéyanditodasita,banyangwéyamomodasita,bana,bandoméyanditodandembéami,bandoméyamomodandembéami,banyangwéyandito,banyangwéyamomo,bata1285
boru,parumaen,anak,boru,anak,anak,parumaen,anak,boru,anak,boru,boru,anak,boru,parumaen,anak,boru,anak,boru,parumaen,bata1289
yoћ,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,woћ,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,yoћ,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,woћ,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,ʒmisc̛ul,bats1242
dačká,pljaménnica,pljaménnik,pljaménnica,pljaménnik,syn,pljaménnica,pljaménnik,pljaménnica,pljaménnik,dačká,pljaménnica,pljaménnik,pljaménnica,pljaménnik,syn,pljaménnica,pljaménnik,pljaménnica,pljaménnik,bela1254
mwali,mwipwa,mwipwa,mwana,mwana,mswami,mwipwa,mwipwa,mwana,mwana,mwali,mwana,mwana,mwipwa,mwipwa,mswami,mwana,mwana,mwipwa,mwipwa,bena1262
amarkouyah,amarbhyjhe,amarbhaypo,amarboujhe,amarboupo,amarputro,amarbhyjhe,amarbhaypo,amarboujhe,amarboupo,amarkouyah,amarbhyjhe,amarbhypo,amarbhagny,amarbhagna,amarputro,amarbhyjhe,amarbhypo,amarbhagny,amarbhagna,beng1280
ngoli,miki,miki,miki,miki,meke,miki,miki,miki,miki,ngoli,miki,miki,miki,miki,meke,miki,miki,miki,miki,bera1259
kabor,fno,fno,inai,romawa,insos,fno,fno,inai,romawa,kabor,inai,romawa,fno,fno,insos,inai,romawa,fno,fno,biak1248
natök,natökusöwei,natökusöwei,natök,natök,natök,natökusöwei,natökusöwei,natök,natök,natök,natök,natök,mörire,mörire,natök,natök,natök,mörire,mörire,bign1238
betī,bhatiji,bhatijā,bhānji,bhānjā,betā,bhatiji,bhatijā,bhānji,bhānjā,betī,bhatiji,bhatijā,bhānji,bhānjā,betā,bhatiji,bhatijā,bhānji,bhānjā,biha1245
mikiakali,miki,miki,miki,miki,mikiamoko,miki,miki,miki,miki,mikiakali,miki,miki,miki,miki,mikiamoko,miki,miki,miki,miki,bila1255
aípain,aípain,aítòmǒl,wajan,wajan,aítòmǒl,aípain,aítòmǒl,wajan,wajan,aípain,aípain,aítòmǒl,wajan,wajan,aítòmǒl,aípain,aítòmǒl,wajan,wajan,bilb1241
anak,kaqanakan,kaqanakan,kaqanakan,kaqanakan,anak,kaqanakan,kaqanakan,kaqanakan,kaqanakan,anak,kaqanakan,kaqanakan,kaqanakan,kaqanakan,anak,kaqanakan,kaqanakan,kaqanakan,kaqanakan,bino1237
bataq,batanqen,batanqen,batanqen,batanqen,bataq,batanqen,batanqen,batanqen,batanqen,bataq,batanqen,batanqen,batanqen,batanqen,bataq,batanqen,batanqen,batanqen,batanqen,binu1244
kurihon,dadarenibeti,dadarenihopon,bhagna,didingrenihopon,hopon,gungu,gungu,gungu,gungu,kurihon,dadarenibeti,dadarenihopon,bhagna,didingrenihopon,hopon,gungu,gungu,gungu,gungu,birh1242
panaŋan,puɹkuniɹa,t̪uwani,puɹkuniɹa,t̪uwani,wulpuɹa,puɹkuniɹa,t̪uwani,puɹkuniɹa,t̪uwani,panaŋan,puɹkuniɹa,t̪uwani,puɹkuniɹa,t̪uwani,wulpuɹa,puɹkuniɹa,t̪uwani,puɹkuniɹa,t̪uwani,biri1256
