fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
zànakavàvy,zanadrahavàvy,zanadrahalàhy,zanadrahavàvy,zanadrahalàhy,zànakalàhy,zanadrahavàvy,zanadrahalàhy,zanadrahavàvy,zanadrahalàhy,zànakavàvy,zanadrahavàvy,zanadrahalàhy,zanadrahavàvy,zanadrahalàhy,zànakalàhy,zanadrahavàvy,zanadrahalàhy,zanadrahavàvy,zanadrahalàhy,plat1254
nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,nahi,pohn1238a
córka,bratanica,bratanek,siostrzenica,siostrzeniec,syn,bratanica,bratanek,siostrzenica,siostrzeniec,córka,bratanica,bratanek,siostrzenica,siostrzeniec,syn,bratanica,bratanek,siostrzenica,siostrzeniec,poli1260
win-noʼ-ga,win-noʼ-ga,we-toashʼ-kä,win-noʼ-ga,nis-seʼ-hä,nis-seʼ-hä,win-noʼ-ga,we-toashʼ-kä,win-noʼ-ga,nis-seʼ-hä,win-noʼ-ga,win-noʼ-ga,nis-seʼ-hä,tä-zhäʼ-hä,we-toashʼ-kä,nis-seʼ-hä,win-noʼ-ga,nis-seʼ-hä,tä-zhäʼ-hä,we-toashʼ-kä,ponc1241
filha,sobrinha,sobrinho,sobrinha,sobrinho,filho,sobrinha,sobrinho,sobrinha,sobrinho,filha,sobrinha,sobrinho,sobrinha,sobrinho,filho,sobrinha,sobrinho,sobrinha,sobrinho,port1283
n'-däʼ-niss,n'-doʼ-zha-mis,näʼ-gwi-nis,n'-däʼ-niss,n'-gwisʼ,n'-gwisʼ,n'-doʼ-zha-mis,näʼ-gwi-nis,n'-däʼ-niss,n'-gwisʼ,n'-däʼ-niss,n'-doʼ-zha-mis,n'-doʼ-zhe-mǎ,ne-sheʼ-mis,näʼ-gwi-nis,n'-gwisʼ,n'-doʼ-zha-mis,n'-doʼ-zhe-mǎ,ne-sheʼ-mis,näʼ-gwi-nis,pota1247
-dou,-pe-do-wãi,-pe-wo-wãi,-pe-do-wãi,-pe-wo-wãi,-wa,-pe-do-wãi,-pe-wo-wãi,-pe-do-wãi,-pe-wo-wãi,-dou,-pe-do-wãi,-pe-wo-wãi,-pe-do-wãi,-pe-wo-wãi,-wa,-pe-do-wãi,-pe-wo-wãi,-pe-do-wãi,-pe-wo-wãi,puin1248
tama-wawine,makopunawawine,tama-tane,makopunawawine,tama-tane,tama-tane,makopunawawine,tama-tane,makopunawawine,tama-tane,tama-wawine,makopunawawine,tama-tane,makopunawawine,tama-tane,tama-tane,makopunawawine,tama-tane,makopunawawine,tama-tane,puka1242
nawú-,yafaakúf,yafaakúf,pwi-,pwi-,nawú-,yafaakúf,yafaakúf,pwi-,pwi-,nawú-,yafaakúf,yafaakúf,mwéngeyáng,pwi-,nawú-,yafaakúf,yafaakúf,mwéngeyáng,pwi-,pulu1242
habi,hauĩ-boĩ,hauĩ-mãĩ,hauĩ-boĩ,hauĩ-mãĩ,haɔ,hauĩ-boĩ,hauĩ-mãĩ,hauĩ-boĩ,hauĩ-mãĩ,habi,hauĩ-boĩ,hauĩ-mãĩ,hauĩ-boĩ,hauĩ-mãĩ,haɔ,hauĩ-boĩ,hauĩ-mãĩ,hauĩ-boĩ,hauĩ-mãĩ,pume1238
y'pho-mu,y'pho-do-mu,y'pho-do-khwä,y'pho-do-mu,y'pho-do-khwä,y'pho-khwä,y'pho-do-mu,y'pho-do-khwä,y'pho-do-mu,y'pho-do-khwä,y'pho-mu,y'pho-do-mu,y'pho-dokhwä,y'pho-do-mu,y'pho-do-khwä,y'pho-khwä,y'pho-do-mu,y'pho-dokhwä,y'pho-do-mu,y'pho-do-khwä,pwoo1239
anak,anak,anak,amuôn,amuôn,anak,anak,anak,amuôn,amuôn,anak,anak,anak,amuôn,amuôn,anak,anak,anak,amuôn,amuôn,rade1240
hika,iramutu,iramutu,iramutu,iramutu,tama,iramutu,iramutu,iramutu,iramutu,hika,iramutu,iramutu,iramutu,iramutu,tama,iramutu,iramutu,iramutu,iramutu,raka1237
nua,poki-tama-hahine,tama-iti,poki-tama-hahine,tama-iti,tama-iti,poki-tama-hahine,tama-iti,poki-tama-hahine,tama-iti,nua,poki-tama-hahine,tama-iti,poki-tama-hahine,tama-iti,tama-iti,poki-tama-hahine,tama-iti,poki-tama-hahine,tama-iti,rapa1244
tama-hine,tama-hine,tama-iti,tama-hine,tama-iti,tama-iti,tama-hine,tama-iti,tama-hine,tama-iti,tama-hine,tama-hine,tama-iti,tama-hine,tama-iti,tama-iti,tama-hine,tama-iti,tama-hine,tama-iti,rapa1245
'akatamā'ine,'akatamā'ine,'akatamaiti,'akatamā'ine,'akatamaiti,'akatamaiti,'akatamā'ine,'akatamaiti,'akatamā'ine,'akatamaiti,'akatamā'ine,'akatamā'ine,'akatamaiti,'akatamā'ine,'akatamaiti,'akatamaiti,'akatamā'ine,'akatamaiti,'akatamā'ine,'akatamaiti,raro1241
bata,inablós,inablós,inablós,inablós,bata,inablós,inablós,inablós,inablós,bata,inablós,inablós,inablós,inablós,bata,inablós,inablós,inablós,inablós,rata1245
anak,tu',tu',tu',tu',anak,tu',tu',tu',tu',anak,tu',tu',tu',tu',anak,tu',tu',tu',tu',reja1240
fiicǎ,nepoatǎ,nepot,nepoatǎ,nepot,fiu,nepoatǎ,nepot,nepoatǎ,nepot,fiicǎ,nepoatǎ,nepot,nepoatǎ,nepot,fiu,nepoatǎ,nepot,nepoatǎ,nepot,roma1327
oviita,papariva,paparito,papariva,paparito,oviito,papariva,paparito,papariva,paparito,oviita,papariva,paparito,papariva,paparito,oviito,papariva,paparito,papariva,paparito,roto1249
le'hani,le'hani,le'fa,le'hani,le'fa,le'fa,le'hani,le'fa,le'hani,le'fa,le'hani,le'hani,le'fa,le'hani,le'fa,le'fa,le'hani,le'fa,le'hani,le'fa,rotu1241
tunavineki,tu-na,buhi-na,tu-na,buhi-na,tu-nakoreo,tu-na,buhi-na,tu-na,buhi-na,tunavineki,tu-na,buhi-na,tu-na,buhi-na,tu-nakoreo,tu-na,buhi-na,tu-na,buhi-na,rovi1238
mukôbwa,umuséngezana-wanje,umuséngezana-wanje,umuséngezana-wanje,umuséngezana-wanje,muhüngu,umuséngezana-wanje,umuséngezana-wanje,umuséngezana-wanje,umuséngezana-wanje,mukôbwa,umukübwåcu,umuhüngwåcu,mwishwanje,mwishwanje,muhüngu,umukübwåcu,umuhüngwåcu,mwishwanje,mwishwanje,rund1242
doch',plemjánnitsa,plemjánnik,plemjánnitsa,plemjánnik,syn,plemjánnitsa,plemjánnik,plemjánnitsa,plemjánnik,doch',plemjánnitsa,plemjánnik,plemjánnitsa,plemjánnik,syn,plemjánnitsa,plemjánnik,plemjánnitsa,plemjánnik,russ1263
дочь,племянница,племянник,племянница,племянник,сын,племянница,племянник,племянница,племянник,дочь,племянница,племянник,племянница,племянник,сын,племянница,племянник,племянница,племянник,russ1263a
wantsuk,itnik,temak,wantsuk,wantsuk,wantsuk,itnik,temak,wantsuk,wantsuk,wantsuk,wantsuk,temak,alak,alak,temak,wantsuk,temak,alak,alak,saaa1241
anak,anaksudara,anaksudara,anaksudara,anaksudara,anak,anaksudara,anaksudara,anaksudara,anaksudara,anak,anaksudara,anaksudara,anaksudara,anaksudara,anak,anaksudara,anaksudara,anaksudara,anaksudara,saba1263
itsulatpüh,itsulatpüh,itsu,itsulatpüh,itsu,itsu,itsulatpüh,itsu,itsulatpüh,itsu,itsulatpüh,itsulatpüh,itsu,aphüli,aphüli,itsu,itsulatpüh,itsu,aphüli,aphüli,sang1321
mwali,mwipwa,mwipwa,mwali,mswami,mswami,mwipwa,mwipwa,mwali,mswami,mwali,mwali,mswami,mwipwa,mwipwa,mswami,mwali,mswami,mwipwa,mwipwa,sang1330
mwana-mwana-mukashi,mwipwa,mwipwa,mwipwa,mwipwa,mwana-mwanamulume,mwipwa,mwipwa,mwipwa,mwipwa,mwana-mwana-mukashi,mwipwa,mwipwa,mwipwa,mwipwa,mwana-mwanamulume,mwipwa,mwipwa,mwipwa,mwipwa,sang1331
duhitṛ,bhrātriyā,bhrātriya,svasrīyā,svasrīya,sūnu,bhrātriyā,bhrātriya,svasrīyā,svasrīya,duhitṛ,bhrātriyā,bhrātriya,svasrīyā,svasrīya,sūnu,bhrātriyā,bhrātriya,svasrīyā,svasrīya,sans1269
mwana,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana,mwana-ankaji,mwana-ankaji,mwana-ankaji,mwana-ankaji,sans1272
tingaq,anak,anak,anak,anak,tingaq,anak,anak,anak,anak,tingaq,anak,anak,anak,anak,tingaq,anak,anak,anak,anak,sara1326
aet,fatiuw,fatiuw,fatiuw,fatiuw,aet,fatiuw,fatiuw,fatiuw,fatiuw,aet,fatiuw,fatiuw,fatiuw,fatiuw,aet,fatiuw,fatiuw,fatiuw,fatiuw,sata1237
dochter,brúursbäiden,brúursbäiden,oomkweeder,oomkweeder,suun,brúursbäiden,brúursbäiden,oomkweeder,oomkweeder,dochter,brúursbäiden,brúursbäiden,oomkweeder,oomkweeder,suun,brúursbäiden,brúursbäiden,oomkweeder,oomkweeder,sate1242
joimepin,fonoemepin,fonoe,fonoemepin,fonoe,joimon,fonoemepin,fonoe,fonoemepin,fonoe,joimepin,fonoemepin,fonoe,fonoemepin,fonoe,joimon,fonoemepin,fonoe,fonoemepin,fonoe,sawa1247
dzo,ziala,ziala,ziala,ziala,dzo,ziala,ziala,ziala,ziala,dzo,ziala,ziala,ziala,ziala,dzo,ziala,ziala,ziala,ziala,seke1241
nælʸa,kətsan,kətsan,kətsan,kətsan,iya~iyatɨ,kətsan,kətsan,kətsan,kətsan,nælʸa,kətsan,kətsan,kətsan,kətsan,iya~iyatɨ,kətsan,kətsan,kətsan,kətsan,selk1253
ka-ahʼ-wuk,ka-ahʼ-wuk,ha-sohʼ-neh,ka-ahʼ-wuk,ha-ahʼ-wuk,ha-ahʼ-wuk,ka-ahʼ-wuk,ha-sohʼ-neh,ka-ahʼ-wuk,ha-ahʼ-wuk,ka-ahʼ-wuk,ka-ahʼ-wuk,ha-ahʼ-wuk,ka-yǎʼ-wan-da,ha-yǎʼ-wan-da,ha-ahʼ-wuk,ka-ahʼ-wuk,ha-ahʼ-wuk,ka-yǎʼ-wan-da,ha-yǎʼ-wan-da,sene1264
ćerka,bratanica,bratanac,sestričina,sestric,sin,bratanica,bratanac,sestričina,sestric,ćerka,bratanica,bratanac,sestričina,sestric,sin,bratanica,bratanac,sestričina,sestric,serb1264
pulin,aka,aka,mac,mac,maiyin,kumu,kumu,num,num,ʂuuŋ,aka,aka,'aahir,'aahir,maiyin,kumu,kumu,'aahir,'aahir,serr1255
yǎpho-mu,yǎpho-do-mu,yǎpho-do,yǎpho-do-mu,yǎpho-do,yǎpho-khwä,yǎpho-do-mu,yǎpho-do,yǎpho-do-mu,yǎpho-do,yǎpho-mu,yǎpho-do-mu,yǎpho-do,yǎpho-do-mu,yǎpho-do,yǎpho-khwä,yǎpho-do-mu,yǎpho-do,yǎpho-do-mu,yǎpho-do,sgaw1245
nø13ŋ̍,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,ȵi13tsɿ,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,nø13ŋ̍,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,ȵi13tsɿ,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,shan1293
aiyaki,ambaki,ambaki,anii,anidi,akui,ambaki,ambaki,anii,anidi,aiyaki,arodsa,arodsa,apaki,apaki,akui,arodsa,arodsa,apaki,apaki,shas1239
nǐ-tä-na-thäʼ,nǐ-tä-na-thäʼ,na-la-gwal-thǎ,nǐ-tä-na-thäʼ,ne-kwe-thäʼ,ne-kwo-thäʼ,nǐ-tä-na-thäʼ,na-la-gwal-thǎ,nǐ-tä-na-thäʼ,ne-kwe-thäʼ,nǐ-tä-na-thäʼ,nǐ-tä-na-thäʼ,ne-kwe-thäʼ,ne-sa-me-thä,na-la-gwal-thä,ne-kwo-thäʼ,nǐ-tä-na-thäʼ,ne-kwe-thäʼ,ne-sa-me-thä,na-la-gwal-thä,shaw1249
phúmu,phúmu,phújuŋ,phúmu,phújuŋ,phújuŋ,phúmu,phújuŋ,phúmu,phújuŋ,phúmu,phúmu,phújuŋ,phúmu,phújuŋ,phújuŋ,phúmu,phújuŋ,phúmu,phújuŋ,sher1255
mwåli,mwali,mwihwa,mwali,mwihwa,mugåla,mwali,mwihwa,mwali,mwihwa,mwåli,mwihwa,mwihwa,mwihwa,mwihwa,mugåla,mwihwa,mwihwa,mwihwa,mwihwa,shii1238
rɨš,xɨdɨl,xɨdɨl,xɨdɨl,xɨdɨl,dux,xɨdɨl,xɨdɨl,xɨdɨl,xɨdɨl,rɨš,xɨdɨl,xɨdɨl,xɨdɨl,xɨdɨl,dux,xɨdɨl,xɨdɨl,xɨdɨl,xɨdɨl,shin1265
báque,chíobaque,chíobaque,chíobaque,chíobaque,báque,chíobaque,chíobaque,chíobaque,chíobaque,báque,chíobaque,chíobaque,chíobaque,chíobaque,báque,chíobaque,chíobaque,chíobaque,chíobaque,ship1254
nelgalau,eten,eten,eten,eten,nelgalau,eten,eten,eten,eten,nelgalau,alwon,alwon,alwon,alwon,nelgalau,alwon,alwon,alwon,alwon,siee1239
tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,sika1261
dhīa,bhāīṭī,bhāītyo,bhānijī,bhāṇitu,puṭu,bhāīṭī,bhāītyo,bhānijī,bhāṇitu,dhīa,bhāīṭī,bhāītyo,bhānijī,bhāṇitu,puṭu,bhāīṭī,bhāītyo,bhānijī,bhāṇitu,sind1272
duwǝ,leli,bæna,leli,bæna,putaa,leli,bæna,leli,bæna,duwǝ,duwǝ,puta,duwǝ,puta,putaa,duwǝ,puta,duwǝ,puta,sinh1246
wo-těneu-ǐr,wo-těwae-chihneu,wo-těwae-chih,wo-těe-sung-neu,wo-těe-sung,wo-těir-tsze,wo-těwae-chihneu,wo-těwae-chih,wo-těe-sung-neu,wo-těe-sung,wo-těneu-ǐr,wo-těchihneu,wo-těchih-ǐr,wo-těwae-sung-neu,wo-těwae-sung,wo-těir-tsze,wo-těchihneu,wo-těchih-ǐr,wo-těwae-sung-neu,wo-těwae-sung,sini1245
sa-yäʼ-dze,sa-yǎʼ-dze,sa-yǎʼ-ze,sa-yǎʼ-dze,sa-yǎʼ-ze,sa-yǎ-ze,sa-yǎʼ-dze,sa-yǎʼ-ze,sa-yǎʼ-dze,sa-yǎʼ-ze,sa-tuʼ-ah,sa-yǎʼ-dze,tu-zenʼ-ah,säʼ-zy,säʼ-zy,su-chuʼ-ah,sa-yǎʼ-dze,tu-zenʼ-ah,säʼ-zy,säʼ-zy,slav1253
hči,nečákinja,nečák,nečákinja,nečák,sîn,nečákinja,nečák,nečákinja,nečák,hči,nečákinja,nečák,nečákinja,nečák,sîn,nečákinja,nečák,nečákinja,nečák,slov1268
dcéra,neter,synovec,neter,synovec,syn,neter,synovec,neter,synovec,dcéra,neter,synovec,neter,synovec,syn,neter,synovec,neter,synovec,slov1269
mughala,muwalawange,mutabani,mwiwa,mwiwa,mutabani,muwalawange,mutabani,mwiwa,mwiwa,mughala,muwalawange,mutabani,mwiwa,mwiwa,mutabani,muwalawange,mutabani,mwiwa,mwiwa,soga1242
naudi,iwi,iwi,naudi,ña,ña,iwi,iwi,naudi,ña,naudi,naudi,ña,iwi,iwi,ña,naudi,ña,iwi,iwi,soge1235
ćerka,sinovica,sinovac,sestričina,sestrić,sin,sinovica,sinovac,sestričina,sestrić,ćerka,sinovica,sinovac,sestričina,sestrić,sin,sinovica,sinovac,sestričina,sestrić,sout1528
tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,ilamutu,ilamutu,tama,tama,tama,ilamutu,ilamutu,sout2865
moí,moí,iámutu,moí,iámutu,tamaóa,moí,iámutu,moí,iámutu,moí,moí,iámutu,moí,iámutu,tamaóa,moí,iámutu,moí,iámutu,sout2866
setúé,gundeemetúé,gundeemezhaa,sembademetúé,sembademezhaa,sezhaa,sechiemetúé,sechiemezhaa,sedéémetúé,sedéémezhaa,setúé,gundeemetúé,gundeemezhaa,sembademetúé,sembademezhaa,sezhaa,sechiemetúé,sechiemezhaa,sedéémetúé,sedéémezhaa,sout2959
maraax,baboolh,baboolh,dhixiik,dhixiik,chio'ñ,paasulh,paasulh,o'kix,o'kix,maraax,jiikulh,jiikulh,tataalh,tataalh,chio'ñ,kilhi,kilhi,kuuxi,kuuxi,sout2976
is-tum-ohe-ǎlt,kä-stumʼ-che-ǎlt,in-teeʼ-kwl,si-ou,kas-koo-sä,is-kwoos-sǎ,kä-stumʼ-che-ǎlt,in-teeʼ-kwl,si-ou,kas-koo-sä,is-tum-ohe-ǎlt,kä-stumʼ-che-ǎlt,kas-koo-sǎ,in-toonsh,in-toonsh,is-kwoos-sǎ,kä-stumʼ-che-ǎlt,kas-koo-sǎ,in-toonsh,in-toonsh,spok1245
hija,sobrina,sobrino,sobrina,sobrino,hijo,sobrina,sobrino,sobrina,sobrino,hija,sobrina,sobrino,sobrina,sobrino,hijo,sobrina,sobrino,sobrina,sobrino,stan1288
filla,neboda,nebot,neboda,nebot,fill,neboda,nebot,neboda,nebot,filla,neboda,nebot,neboda,nebot,fill,neboda,nebot,neboda,nebot,stan1289
fille,nièce,neveu,nièce,neveu,fils,nièce,neveu,nièce,neveu,fille,nièce,neveu,nièce,neveu,fils,nièce,neveu,nièce,neveu,stan1290
ˈdɔːtə,niːs,ˈnɛv.ju,niːs,ˈnɛv.ju,sʌn,niːs,ˈnɛv.ju,niːs,ˈnɛv.ju,ˈdɔːtə,niːs,ˈnɛv.ju,niːs,ˈnɛv.ju,sʌn,niːs,ˈnɛv.ju,niːs,ˈnɛv.ju,stan1293
ˈtɔχtɐ,ˈnɪçtə,ˈnɛfə,ˈnɪçtə,ˈnɛfə,zoːn,ˈnɪçtə,ˈnɛfə,ˈnɪçtə,ˈnɛfə,ˈtɔχtɐ,ˈnɪçtə,ˈnɛfə,ˈnɪçtə,ˈnɛfə,zoːn,ˈnɪçtə,ˈnɛfə,ˈnɪçtə,ˈnɛfə,stan1295
ˈzwɑɡi,gai,ˈɛwɛɡɑni,eirieni,irka,ˈɛni,yũtu,ˈĩʲɛpi,nime,nime,ˈzwɑɡi,ˈzwɑɡi,ˈɛwɛɡɑni,ˈnaziba,ˈnaziba,ˈɛni,ˈnimɛ,ˈnimɛ,ˈnaziba,ˈnaziba,suki1245
anak,alo,alo,alo,alo,anak,suan,suan,suan,suan,anak,alo,alo,alo,alo,anak,suan,suan,suan,suan,sund1252
nø13ŋ̍,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,ȵi13tsɿ,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,nø13ŋ̍,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,ȵi13tsɿ,zəʔ3nø13ŋ̍,aʔ5zəʔ3,ŋɑ31-13sã55-33nø13-33ŋ̍,ŋɑ31-13sã55-21,suzh1234
dotter,brors-dotter,bror-son,syster-dotter,syster-son,son,brors-dotter,bror-son,syster-dotter,syster-son,dotter,brors-dotter,bror-son,syster-dotter,syster-son,son,brors-dotter,bror-son,syster-dotter,syster-son,swed1254
ungâ,bî,akí,bî,akí,ungâ,bî,akí,bî,akí,ungâ,bî,akí,bî,akí,ungâ,bî,akí,bî,akí,tady1237
anak,pam-ank-in,pam-ank-in,pam-ank-in,pam-ank-in,anak,pam-ank-in,pam-ank-in,pam-ank-in,pam-ank-in,anak,pam-ank-in,pam-ank-in,pam-ank-in,pam-ank-in,anak,pam-ank-in,pam-ank-in,pam-ank-in,pam-ank-in,taga1270
tama-a-hine,tama-a-hine,tama-iti,tama-a-hine,tama-iti,tama-iti,tama-a-hine,tama-iti,tama-a-hine,tama-iti,tama-a-hine,tama-a-hine,tama-iti,tama-a-hine,tama-iti,tama-iti,tama-a-hine,tama-iti,tama-a-hine,tama-iti,tahi1242
ngana-nya,ponungao,ponungao,ponungao,ponungao,ngana-nya,ponungao,ponungao,ponungao,ponungao,ngana-nya,ponungao,ponungao,ponungao,ponungao,ngana-nya,ponungao,ponungao,ponungao,ponungao,taje1237a
unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,taje1237b
angana,ponungao,ponungao,ponungao,ponungao,angana,ponungao,ponungao,ponungao,ponungao,angana,ponungao,ponungao,ponungao,ponungao,angana,ponungao,ponungao,ponungao,ponungao,taji1246
nanu-,nbi,nbi,nanu-,nanu-,nanu-,nbi,nbi,nanu-,nanu-,nanu-,nanu-,nanu-,ngai,ngai,nanu-,nanu-,nanu-,ngai,ngai,taki1248
tamaffine,tama,tama,ilaamotu,ilaamotu,tamatanata,tama,tama,ilaamotu,ilaamotu,tamaffine,tama,tama,ilaamotu,ilaamotu,tamatanata,tama,tama,ilaamotu,ilaamotu,taku1257
dalenadaki,tsagina,tsagina,tsagina,tsagina,dalenagare,tsagina,tsagina,tsagina,tsagina,dalenadaki,tsagina,tsagina,tsagina,tsagina,dalenagare,tsagina,tsagina,tsagina,tsagina,tali1259
anafīni,kakananafīni,kakanana,fotonanafīn,fotonana,anamini,oelīnanafīni,oelīnana,fotonanafīn,fotonana,anafīni,kakananafīni,kakanana,fotonanafīn,fotonana,anamini,oelīnanafīni,oelīnana,fotonanafīn,fotonana,tali1262
enmǎkǎl,enmǎrǔmmǎkǎl,enmǎrǔmmǎkǎn,enmǎkǎl,enmǎkǎn,enmǎkǎn,enmǎrǔmmǎkǎl,enmǎrǔmmǎkǎn,enmǎkǎl,enmǎkǎn,enmǎkǎl,enmǎkǎl,enmǎkǎn,enmǎrǔmmǎkǎl,enmǎrǔmmǎkǎn,enmǎkǎn,enmǎkǎl,enmǎkǎn,enmǎrǔmmǎkǎl,enmǎrǔmmǎkǎn,tami1289
che-memyra,che-penga,che-penga,chané-memyra,chané-memyra,che-memyra,che-penga,che-penga,chané-memyra,chané-memyra,che-ranchyra,chané-ranchyra,chané-ranyra,che-kuchãmemyra,che-rikawiana,che-ranyra,chané-ranchyra,chané-ranyra,che-kuchãmemyra,che-rikawiana,tapi1254
taina,taina,tama,taina,tama,tama,taina,tama,taina,tama,ahahine,ahahine,ataliki,ilamotu,ilamotu,ataliki,ahahine,ataliki,ilamotu,ilamotu,taum1237
anak,anak-un,anak-un,anak-un,anak-un,anak,anak-un,anak-un,anak-un,anak-un,anak,anak-un,anak-un,anak-un,anak-un,anak,anak-un,anak-un,anak-un,anak-un,taus1251
anak,anakun,anakun,anakun,anakun,anak,anakun,anakun,anakun,anakun,anak,anakun,anakun,anakun,anakun,anak,anakun,anakun,anakun,anakun,taus1251a
kalm-n,mex-on,mex,mex-on,mex,kalm,mex-on,mex,mex-on,mex,kalm-n,mex-on,mex,mex-on,mex,kalm,mex-on,mex,mex-on,mex,tehu1242
kutǔrǔ,ménǎkōdǎlǔ,ménǎllǔdǔ,kǔthǔrǔ,kǒdǎkǔ,kǒdǔkǔ,ménǎkōdǎlǔ,ménǎllǔdǔ,kǔthǔrǔ,kǒdǎkǔ,kutǔrǔ,kǔthǔrǔ,kǎdǔkǔ,ménǎkōdǎlǔ,ménǎllǔdu,kǒdǔkǔ,kǔthǔrǔ,kǎdǔkǔ,ménǎkōdǎlǔ,ménǎllǔdu,telu1262
-ra'yra-,-ai-,-ai-,ikunhambyr-,ikunhambyr-,-ra'yra-,-ai-,-ai-,ikunhambyr-,ikunhambyr-,-ra'yra-,-ra'yra-,-ra'yra-,ikunhambyr-,ikunhambyr-,-ra'yra-,-ra'yra-,-ra'yra-,ikunhambyr-,ikunhambyr-,tenh1241
anafeök,anafeök,anamanek,dadik,dadik,anamanek,anafeök,anamanek,dadik,dadik,anafeök,anafeök,anamanek,dadik,dadik,anamanek,anafeök,anamanek,dadik,dadik,term1237
anauk,feton,foun,feton,foun,oan,feton,foun,feton,foun,anauk,feton,foun,feton,foun,oan,feton,foun,feton,foun,tetu1245
oan,sobrinya,sobrinyu,sobrinya,sobrinyu,oan,sobrinya,sobrinyu,sobrinya,sobrinyu,oan,sobrinya,sobrinyu,sobrinya,sobrinyu,oan,sobrinya,sobrinyu,sobrinya,sobrinyu,tetu1246
azazakabinanau'az,qumqum,qumqum,qumqum,qumqum,azazakaayuzi,qumqum,qumqum,qumqum,qumqum,azazakabinanau'az,qumqum,qumqum,qumqum,qumqum,azazakaayuzi,qumqum,qumqum,qumqum,qumqum,thao1240
paanthrothom,paanthnherngk-ngathn,pamnherngk-ngathn,paanthrothom,pamrothom,pamrothom,paanthnherngk-ngathn,pamnherngk-ngathn,paanthrothom,pamrothom,paanthnherngk-ngathn,paanthnherngk-ngathn,pamnherngk-ngathn,paanthrothom,pamrothom,pamnherngk-ngathn,paanthnherngk-ngathn,pamnherngk-ngathn,paanthrothom,pamrothom,thay1249
tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,iramatu,iramatu,tama,tama,tama,iramatu,iramatu,tiko1237
tama-fine,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama-fine,tama,tama,tama,iramutu,tama,tama,tama,tama,iramutu,tiko1237a
wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,wan,tivv1240
l-ale,l-asoši,l-asošik,l-asoši,l-asošik,l-ale-k,l-asoši,l-asošik,l-asoši,l-asošik,l-ale,l-asoši,l-asošik,l-asoši,l-asošik,l-ale-k,l-asoši,l-asošik,l-asoši,l-asošik,toba1269
sememyra,sepenga,sepenga,sesomemyna,sesomemyna,sememyra,sepenga,sepenga,sesomemyna,sesomemyna,serasyra,sesowasyna,sesowa'yna,serekosara,serekosara,sera'yra,sesowasyna,sesowa'yna,serekosara,serekosara,toca1235
tama,tamasa,tamasa,fai-tama,fai-tama,tama,tamasa,tamasa,fai-tama,fai-tama,afafine,afafine,tama,afafine,ataliki,tama,afafine,tama,afafine,ataliki,toke1240a
ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,tola1247
piniarawēwēnē,pahanakenwēwēnē,pahanakentuama,pahanakenwēwēnē,pahanakentuama,piniaratuama,pahanakenwēwēnē,pahanakentuama,pahanakenwēwēnē,pahanakentuama,piniarawēwēnē,pahanakenwēwēnē,pahanakentuama,pahanakenwēwēnē,pahanakentuama,piniaratuama,pahanakenwēwēnē,pahanakentuama,pahanakenwēwēnē,pahanakentuama,tomb1243
