fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
siamang,posiamaong,posinaong,posiamaong,posinaong,sinang,posiamaong,posinaong,posiamaong,posinaong,siamang,posiamaong,posinaong,posiamaong,posinaong,sinang,posiamaong,posinaong,posiamaong,posinaong,bala1314
rerama,nanang,meme,rerama,bibi,bibi,nanang,meme,rerama,bibi,rerama,nanang,meme,rerama,bibi,bibi,nanang,meme,rerama,bibi,bali1278
tama,tama,sae,tama,sae,tina,nukna,tina,nukna,tina,tama,tama,sae,tama,sae,tina,nukna,tina,nukna,tina,balu1257
baba,kaːwaŋ,babanaᶁiᶁa,kaːwaŋ,babanaᶁiᶁa,myjong,kaːwaŋ,ŋaɹuɲ,kaːwaŋ,ŋaɹuɲ,baba,kaːwaŋ,babanaᶁiᶁa,kaːwaŋ,babanaᶁiᶁa,myjong,kaːwaŋ,ŋaɹuɲ,kaːwaŋ,ŋaɹuɲ,band1339
abah,dangsanakabah,dangsanakabah,dangsanakabah,dangsanakabah,uma,dangsanakuma,dangsanakuma,dangsanakuma,dangsanakuma,abah,dangsanakabah,dangsanakabah,dangsanakabah,dangsanakabah,uma,dangsanakuma,dangsanakuma,dangsanakuma,dangsanakuma,banj1239
tama,menakan,menakan,menakan,menakan,sinah,menakan,menakan,menakan,menakan,tama,menakan,menakan,menakan,menakan,sinah,menakan,menakan,menakan,menakan,bann1247
ina',ina',iva`wa',ina',iva`wa',ivi'a,i.ā'ts,ivi'a,i.ā'ts,ivi'a,ina',ina',iva`wa',ina',iva`wa',ivi'a,i.ā'ts,ivi'a,i.ā'ts,ivi'a,bann1248
ku:lu,ku:lu,irmur,ku:lu,irmur,piri:,ka:ra,piri:,ka:ra,piri:,ku:lu,ku:lu,irmur,ku:lu,irmur,piri:,ka:ra,piri:,ka:ra,piri:,bard1254
tama,menakan,menakan,menakan,menakan,sinah,menakan,menakan,menakan,menakan,tama,menakan,menakan,menakan,menakan,sinah,menakan,menakan,menakan,menakan,bari1288
aita,ai'ta-rena'naie,ai'ta-rena'reba,ai'ta-rena'naie,ai'ta-rena'reba,ama,a'ma-rena'naie,a'ma-renã'hispa,a'ma-rena'naie,a'ma-renã'hispa,aita,ai'ta-rena'naie,ai'ta-rena'reba,ai'ta-rena'naie,ai'ta-rena'reba,ama,a'ma-rena'naie,a'ma-renã'hispa,a'ma-rena'naie,a'ma-renã'hispa,basq1248
hangwé,ntoduwahangwé,sitawahangwé,ndembéwahangwé,nyongwé,iné,ntoduwanyangwé,sitawanyangwé,ndembéwanyangwé,iluhuyanyangwé,hangwé,ntoduwahangwé,sitawahangwé,ndembéwahangwé,nyongwé,iné,ntoduwanyangwé,sitawanyangwé,ndembéwanyangwé,iluhuyanyangwé,bata1285
among,amongtua,namboru,amonguda,namboru,inang,tulang,inangtua,tulang,inangbaju,among,amongtua,namboru,amonguda,namboru,inang,tulang,inangtua,tulang,inangbaju,bata1289
