fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
-u,-túti,-átse,-túti,-átse,-hi,-túti,-hí-ʔi,-túti,-hí-ʔi,-u,-túti,-átse,-túti,-átse,-hi,-túti,-hí-ʔi,-túti,-hí-ʔi,paus1244
ah-teʼ-ase,a-teʼ-ase,a-teʼ-rä,a-teʼ-ase,a-teʼ-rä,a-teʼ-rǎ,te-watchʼ-e-riks,a-teʼ-rä,te-watchʼ-e-riks,a-teʼ-rä,ah-teʼ-ase,a-teʼ-ase,a-teʼ-rä,a-teʼ-ase,a-teʼ-rä,a-teʼ-rǎ,te-watchʼ-e-riks,a-teʼ-rä,te-watchʼ-e-riks,a-teʼ-rä,pawn1254
siama,posiamao,posinao,posiamao,posinao,sina,posiamao,posinao,posiamao,posinao,siama,posiamao,posinao,posiamao,posinao,sina,posiamao,posinao,posiamao,posinao,pend1242
tira,tau-eka,matua-wahine,tau-eka,matua-wahine,papa,tau-eka,matua-wahine,tau-eka,matua-wahine,tira,tau-eka,matua-wahine,tau-eka,matua-wahine,papa,tau-eka,matua-wahine,tau-eka,matua-wahine,penr1237
no-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,no-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,peor1238
tata,tǎta,tǎta,tǎta,tǎta,gina,ginathu,mǎma,ginathu,mǎma,tata,tǎta,tǎta,tǎta,tǎta,gina,ginathu,mǎma,ginathu,mǎma,phen1239
nin,ne-toʼ-to-mä,ne-toʼ-tarse,ne-toʼ-to-mä,ne-toʼ-tarse,naʼ-nä,ne-to-tahˑseʼ,n'-toʼ-tox-is,ne-to-tahˑseʼ,n'-toʼ-tox-is,nin,ne-toʼ-to-mä,ne-toʼ-tarse,ne-toʼ-to-mä,ne-toʼ-tarse,naʼ-nä,ne-to-tahˑseʼ,n'-toʼ-tox-is,ne-to-tahˑseʼ,n'-toʼ-tox-is,pieg1239
le-tʔa,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo,l-atʔe,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo,le-tʔa,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo,l-atʔe,ne-te'soḳoʔ,l-a'sodo,ne-te'soḳoʔ,l-a'sodo,pila1245
tamana,tamana,hinana,tamana,hinana,hinana,ingoa,hinana,ingoa,hinana,tamana,tamana,hinana,tamana,hinana,hinana,ingoa,hinana,ingoa,hinana,pile1238
mama,mama,kurntili,mama,kurntili,maama,nyamirni,ngunytju,nyamirni,ngunytju,mama,mama,kuntirli,mama,kuntirli,maama,nyamirni,ngunytju,nyamirni,ngunytju,pint1250
mama,mamapurlka,kurnti,mamamarlatya,kurnti,ngunytju,kamaru,ngunytyupurlka,kamaru,ngunytyumarlatya,mama,mamapurlka,kurnti,mamamarlatya,kurnti,ngunytju,kamaru,ngunytyupurlka,kamaru,ngunytyumarlatya,pitj1243
ngapiri,ngapiri,tyami,ngapiri,tyami,ngama,ngarlu,ngama,ngarlu,ngama,ngapiri,ngapiri,tyami,ngapiri,tyami,ngama,ngarlu,ngama,ngarlu,ngama,pitt1247
nohˑ-täʼ-we,noʼ-ko-mis,nis-sǐʼ-goosʼ,noʼ-ko-mis,nis-sǐʼ-goosʼ,n'-gäʼ-we,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,nohˑ-täʼ-we,noʼ-ko-mis,nis-sǐʼ-goosʼ,noʼ-ko-mis,nis-sǐʼ-goosʼ,n'-gäʼ-we,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,plai1258
pahpa,pahpa,ihn,pahpa,ihn,ihn,ullap,ihn,ullap,ihn,pahpa,pahpa,ihn,pahpa,ihn,ihn,ullap,ihn,ullap,ihn,pohn1238a
ojciec,wujek,ciotka,wujek,ciotka,matka,wujek,ciotka,wujek,ciotka,ojciec,wujek,ciotka,wujek,ciotka,matka,wujek,ciotka,wujek,ciotka,poli1260
tä-deʼ-ha,tä-deʼ-hä,te-naʼ-hä,tä-deʼ-hä,te-naʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,tä-deʼ-ha,tä-deʼ-hä,te-naʼ-hä,tä-deʼ-hä,te-naʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,ponc1241
pai,tio,tia,tio,tia,mãe,tio,tia,tio,tia,pai,tio,tia,tio,tia,mãe,tio,tia,tio,tia,port1283
noss,noke-mǎʼ,n'-si-gwisʼ,noke-mǎʼ,n'-si-gwisʼ,n'-gehʼ,n'-jeh-shǎ,no-shehʼ,n'-jeh-shǎ,no-shehʼ,noss,noke-mǎʼ,n'-si-gwisʼ,noke-mǎʼ,n'-si-gwisʼ,n'-gehʼ,n'-jeh-shǎ,no-shehʼ,n'-jeh-shǎ,no-shehʼ,pota1247
-i,-i-bəi,-iha,-i-bəi,-iha,-in,-wota,-inha,-wota,-inha,-i,-i-bəi,-iha,-i-bəi,-iha,-in,-wota,-inha,-wota,-inha,puin1248
matuatane,matuatane,matuawawine,matuatane,matuawawine,matuawawine,matuatane,matuawawine,matuatane,matuawawine,matuatane,matuatane,matuawawine,matuatane,matuawawine,matuawawine,matuatane,matuawawine,matuatane,matuawawine,puka1242
haam,haam,yiin,haam,yiin,yiin,mwéngeyáng,yiin,mwéngeyáng,yiin,haam,haam,yiin,haam,yiin,yiin,pwi-,yiin,pwi-,yiin,pulu1242
amãĩ,a-mãĩ,hae-ieĩ,a-mãĩ,hae-ieĩ,aĩ~eĩ,hade-mãĩ,aĩ,hade-mãĩ,aĩ,amãĩ,a-mãĩ,hae-ieĩ,a-mãĩ,hae-ieĩ,aĩ~eĩ,hade-mãĩ,aĩ,hade-mãĩ,aĩ,pume1238
y'pä,y'pha-te-te,y'm'-gä-te-te,y'pha-te-te,y'm'-gä-te-te,y'mo,y'pha-te-te,y'm'-gä-te-te,y'pha-te-te,y'm'-gä-te-te,y'pä,y'pha-te-te,y'm'-gä-te-te,y'pha-te-te,y'm'-gä-te-te,y'mo,y'pha-te-te,y'm'-gä-te-te,y'pha-te-te,y'm'-gä-te-te,pwoo1239
ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,raha1237
metua-tane,metua-tane,metua-wahine,metua-tane,metua-wahine,metua-wahine,metua-tane,metua-wahine,metua-tane,metua-wahine,metua-tane,metua-tane,metua-wahine,metua-tane,metua-wahine,metua-wahine,metua-tane,metua-wahine,metua-tane,metua-wahine,raka1237
koro,matuakeke,matuatamahahine,matuakeke,matuatamahahine,matu'aporeko,matuakeke,matuatamahahine,matuakeke,matuatamahahine,koro,matuakeke,matuatamahahine,matuakeke,matuatamahahine,matu'aporeko,matuakeke,matuatamahahine,matuakeke,matuatamahahine,rapa1244
metuuataane,metuuataane,metuuavahine,metuuataane,metuuavahine,metuuavahine,metuuataane,metuuavahine,metuuataane,metuuavahine,metuuataane,metuuataane,metuuavahine,metuuataane,metuuavahine,metuuavahine,metuuataane,metuuavahine,metuuataane,metuuavahine,rapa1245
amang,tiyo,tiya,tiyo,tiya,ináng,tiyo,tiya,tiyo,tiya,amang,tiyo,tiya,tiyo,tiya,ináng,tiyo,tiya,tiyo,tiya,rata1245
baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gaykay,ngaarnrdi,gaykay,ngaarnrdi,baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gaykay,ngaarnrdi,gaykay,ngaarnrdi,rita1239
tatǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,mamǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,tatǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,mamǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,roma1327
aite,aite,kauo,aite,kauo,aako,papa,aako,papa,aako,aite,aite,kauo,aite,kauo,aako,papa,aako,papa,aako,roto1249
'otoo'iia,o'fa'akia,o'hani'akia,o'fa'akia,o'hani'akia,'otoo'haniia,o'fa'akia,o'hani'akia,o'fa'akia,o'hani'akia,'otoo'iia,o'fa'akia,o'hani'akia,o'fa'akia,o'hani'akia,'otoo'haniia,o'fa'akia,o'hani'akia,o'fa'akia,o'hani'akia,rotu1241
oˀua,lakiama,lakiina,lakiama,lakiina,indo,lakiama,lakiina,lakiama,lakiina,oˀua,lakiama,lakiina,lakiama,lakiina,indo,lakiama,lakiina,lakiama,lakiina,rout1237
tama-na,buhina,tinanakarokarovo,buhina,tinanakarokarovo,tina-na,buhina,tinanakarokarovo,buhina,tinanakarokarovo,tama-na,buhina,tinanakarokarovo,buhina,tinanakarokarovo,tina-na,buhina,tinanakarokarovo,buhina,tinanakarokarovo,rovi1238
dåtá,dåtá-wåcu,sengé,dåtá-wåcu,sengé,måmá,mårúme,måmá-wåcu,mårúme,måmá-wåcu,dåtá,dåtá-wåcu,sengé,dåtá-wåcu,sengé,måmá,mårúme,måmá-wåcu,mårúme,måmá-wåcu,rund1242
otets,djádja,tjótja,djádja,tjótja,mat',djádja,tjótja,djádja,tjótja,otets,djádja,tjótja,djádja,tjótja,mat',djádja,tjótja,djádja,tjótja,russ1263
отец,дядя,тётя,дядя,тётя,мать,дядя,тётя,дядя,тётя,отец,дядя,тётя,дядя,тётя,мать,дядя,тётя,дядя,тётя,russ1263a
temak,temak,itnik,temak,itnik,dasik,tsik,dasik,tsik,dasik,temak,temak,itnik,temak,itnik,dasik,tsik,selak,tsik,selak,saaa1241
ama'a,tamalengale,tavanau,tamalengale,tavanau,ina'a,tamalengale,tavanau,tamalengale,tavanau,ama'a,tamalengale,tavanau,tamalengale,tavanau,ina'a,tamalengale,tavanau,tamalengale,tavanau,saar1237
bapa,bapasudara,makmuda,bapasudara,makmuda,ibu,bapasudara,makmuda,bapasudara,makmuda,bapa,bapasudara,makmuda,bapasudara,makmuda,ibu,bapasudara,makmuda,bapasudara,makmuda,saba1263
au,auaziba,itpahazitpüh,auazaba,itpahazitpüh,itpa,iküaziba,itpahazitpüh,iküazaba,itpahazitpüh,au,auaziba,itpahazitpüh,auazaba,itpahazitpüh,itpa,iküaziba,itpahazitpüh,iküazaba,itpahazitpüh,sang1321
dada,dada,yuvahengi,dada,yuvahengi,yuva,yaya,yuva,yaya,yuva,dada,dada,yuvahengi,dada,yuvahengi,yuva,yaya,yuva,yaya,yuva,sang1330
pitṛ,pitṛ,pitṛṣvasṛ,pitṛ,pitṛṣvasṛ,mātṛ,mātula,mātṛṣvasṛ,mātula,mātṛṣvasṛ,pitṛ,pitṛ,pitṛṣvasṛ,pitṛ,pitṛṣvasṛ,mātṛ,mātula,mātṛṣvasṛ,mātula,mātṛṣvasṛ,sans1269
maq,faq,bongyéq,faq,bongyéq,yéq,faq,bongyéq,faq,bongyéq,maq,faq,bongyéq,faq,bongyéq,yéq,faq,bongyéq,faq,bongyéq,sara1326
padre,tiu,tia,tiu,tia,madre,tiu,tia,tiu,tia,padre,tiu,tia,tiu,tia,madre,tiu,tia,tiu,tia,sard1257
baabe,oom,möie,oom,möie,määme,oom,möie,oom,möie,baabe,oom,möie,oom,möie,määme,oom,möie,oom,möie,sate1242
mama,toea,baba,toea,baba,nene,toea,baba,toea,baba,mama,toea,baba,toea,baba,nene,toea,baba,toea,baba,sawa1247
zmia,zmia,wwa,zmia,wwa,dahe,meza,dahe,meza,dahe,zmia,zmia,wwa,zmia,wwa,dahe,meza,dahe,meza,dahe,seke1241
əsɨ,tɩmnʸa,nenʸnʸa,tɩmnʸa,nenʸnʸa,əmɨ,tɩtæ,onʸa,tɩtæ,onʸa,əsɨ,tɩmnʸa,nenʸnʸa,tɩmnʸa,nenʸnʸa,əmɨ,tɩtæ,onʸa,tɩtæ,onʸa,selk1253
häʼ-nih,häʼ-nih,ah-gaʼ-huo,häʼ-nih,ah-gaʼ-huo,no-yehʼ,hoc-noʼ-seh,no-yehʼ,hoc-noʼ-seh,no-yehʼ,häʼ-nih,häʼ-nih,ah-gaʼ-huo,häʼ-nih,ah-gaʼ-huo,no-yehʼ,hoc-noʼ-seh,no-yehʼ,hoc-noʼ-seh,no-yehʼ,sene1264
otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka,otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka,serb1264
-ai,-maʔax,-yāk,-maʔax,-yāk,-ata,-šmī,-tmaʔax,-šmī,-tmaʔax,-ai,-maʔax,-yāk,-maʔax,-yāk,-ata,-šmī,-tmaʔax,-šmī,-tmaʔax,seri1257
yǎpä,yǎphä-tie,yǎmu-ghä,yǎphä-tie,yǎmu-ghä,yǎmo,yǎpha-tie,yǎmu-ghä,yǎpha-tie,yǎmu-ghä,yǎpä,yǎphä-tie,yǎmu-ghä,yǎphä-tie,yǎmu-ghä,yǎmo,yǎpha-tie,yǎmu-ghä,yǎpha-tie,yǎmu-ghä,sgaw1245
ata,arodsa,ambaki,arodsa,ambaki,ani,apaki,anidi,apaki,anidi,ata,arodsa,ambaki,arodsa,ambaki,ani,apaki,anidi,apaki,anidi,shas1239
no-thäʼ,no-thäʼ,na-tha-gwe-thäʼ,no-thäʼ,na-tha-gwe-thäʼ,no-thäʼ,ni-sǐ-thǎʼ,na-ke-͡ahʼ,ni-sǐ-thǎʼ,na-ke-͡ahʼ,no-thäʼ,no-thäʼ,na-tha-gwe-thäʼ,no-thäʼ,na-tha-gwe-thäʼ,no-thäʼ,ni-sǐ-thǎʼ,na-ke-͡ahʼ,ni-sǐ-thǎʼ,na-ke-͡ahʼ,shaw1249
låarhaa,mulåarhaa,nyåamashenge,mulåarhaa,nyåamashenge,mubuguma,nyaama-lume,nyama,nyaama-lume,nyama,låarhaa,mulåarhaa,nyåamashenge,mulåarhaa,nyåamashenge,mubuguma,nyaama-lume,nyama,nyaama-lume,nyama,shii1238
did,didtɨšu,didtɨriši,didtɨšu,didtɨriši,nin,nindɨšu,nindɨriši,nindɨšu,nindɨriši,did,didtɨšu,didtɨriši,didtɨšu,didtɨriši,nin,nindɨšu,nindɨriši,nindɨšu,nindɨriši,shin1265
pápa,épa,yáya,épa,yáya,títa,cóca,huáata,cóca,huáata,pápa,épa,náchi,épa,náchi,títa,cóca,huáata,cóca,huáata,ship1254
etmen,itviroc,namouviroc,itviroc,namouviroc,mama,metan,ndetwon,metan,ndetwon,etmen,itviroc,namouviroc,itviroc,namouviroc,mama,metan,ndetwon,metan,ndetwon,siee1239
tamana,tamana,tinna,tamana,tinna,tinna,tamana,tinna,tamana,tinna,tamana,tamana,tinna,tamana,tinna,tinna,tamana,tinna,tamana,tinna,sika1261
pīü,bābo,phuphi,chācho,phuphi,āī,māmo,māsī,māmo,māsī,pīü,bābo,phuphi,chācho,phuphi,āī,māmo,māsī,māmo,māsī,sind1272
tatta,lokutaatta,lokunænda,punchitaatta,punchinænda,amma,lokumaama,mahamma,punchimaama,punchiamma,tatta,lokutaatta,lokunænda,punchitaatta,punchinænda,amma,lokumaama,mahamma,punchimaama,punchiamma,sinh1246
wo-těfǔ-tsin,wo-těpoh-fǔ,wo-těkǔtseay,wo-těshuh-fǔ,wo-těkǔ-mo,wo-těmo-tsin,wo-těmo-kew,wo-těta-e-ma,wo-těmo-kew,wo-těleaon-e-ma,wo-těfǔ-tsin,wo-těpoh-fǔ,wo-těkǔtseay,wo-těshuh-fǔ,wo-těkǔ-mo,wo-těmo-tsin,wo-těmo-kew,wo-těta-e-ma,wo-těmo-kew,wo-těleaon-e-ma,sini1245
paba,éru,ári,éru,ári,tãĩ,ámi,ézi,ámi,ézi,paba,éru,ári,éru,ári,tãĩ,ámi,ézi,ámi,ézi,siri1273
sa-täʼ,eh-täʼ-ah,eh-m'-baʼ-dza,eh-täʼ-ah,eh-m'-baʼ-dza,nain-gukʼ,thä-thaʼ,sanʼ-ga,thä-thaʼ,sanʼ-ga,sa-täʼ,eh-täʼ-ah,eh-m'-baʼ-dza,eh-täʼ-ah,eh-m'-baʼ-dza,nain-gukʼ,thä-thaʼ,sanʼ-ga,thä-thaʼ,sanʼ-ga,slav1253
óče,stríc,téta,stríc,téta,máti,stríc,téta,stríc,téta,óče,stríc,téta,stríc,téta,máti,stríc,téta,stríc,téta,slov1268
otec,strýko,teta,strýko,teta,mať,ujec,teta,ujec,teta,otec,strýko,teta,strýko,teta,mať,ujec,teta,ujec,teta,slov1269
lata,kogya,songa,lataomuto,songa,mukaire,kogya,songa,kogya,mukaireomuto,lata,kogya,songa,lataomuto,songa,mukaire,kogya,songa,kogya,mukaireomuto,soga1242
târ,malim,târmↄkånd,malim,târmↄkånd,ngwe:n,malim,mâm,malim,mâm,târ,malim,târmↄkånd,malim,târmↄkånd,ngwe:n,malim,mâm,malim,mâm,song1299
asa,asamoto,ngu,asamoto,ngu,ngu,munso,ngu,munso,ngu,asa,asamoto,ngu,asamoto,ngu,ngu,munso,ngu,munso,ngu,song1300
otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka,otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka,sout1528
apap,apapk͡pur,iakkpur,apapsɛs,iakses,iak,awokpur,iakkpur,awoses,iakses,apap,apapk͡pur,iakkpur,apapsɛs,iakses,jak,awokpur,iakkpur,awoses,iakses,sout2856
apap,awo,ta,awo,ta,iak,awo,iak,awo,iak,apap,awo,ta,awo,ta,iak,awo,iak,awo,iak,sout2856a
teme-,apap,avweyvwey,apap,avweyvwey,hine-,mituwa-,avweyvwey,mituwa-,avweyvwey,teme-,apap,avweyvwey,apap,avweyvwey,hine-,mituwa-,avweyvwey,mituwa-,avweyvwey,sout2857
tame,pap,tine,pap,tine,nine,metuo,nine,metuo,nine,tame,pap,tine,pap,tine,nine,metuo,nine,metuo,nine,sout2859
tamana,tamana,matua,tamana,matua,matua,tuatina,matua,tuatina,matua,tamana,tamana,matua,tamana,matua,matua,tuatina,matua,tuatina,matua,sout2865
setá,seʔeh,ehmbée,seʔeh,ehmbée,semǫ,seʔeh,sǫ,seʔeh,sǫ,setá,seʔeh,ehmbée,seʔeh,ehmbée,semǫ,seʔeh,sǫ,seʔeh,sǫ,sout2959
moa,ai-,paá,ai-,paá,pia,ai-,paha,ai-,paha,moa,ai-,paá,ai-,paá,pia,ai-,paha,ai-,paha,sout2969
en-ne-mesʼ-tum,is-se-mǎlt,en-teeʼ-kwl,is-se-mǎlt,en-teeʼ-kwl,en-tomeʼ,is-sǎʼ,in-kachʼ-ha,is-sǎʼ,in-kachʼ-ha,en-le-ǎʼ-u,is-se-mǎlt,in-kachʼ-ha,is-se-mǎlt,in-kachʼ-ha,e-skoʼ-i,is-sǎʼ,in-kachʼ-ha,is-sǎʼ,in-kachʼ-ha,spok1245
padre,tío,tía,tío,tía,madre,tío,tía,tío,tía,padre,tío,tía,tío,tía,madre,tío,tía,tío,tía,stan1288
pare,tio,tia,tio,tia,mare,tio,tia,tio,tia,pare,tio,tia,tio,tia,mare,tio,tia,tio,tia,stan1289
père,oncle,tante,oncle,tante,mère,oncle,tante,oncle,tante,père,oncle,tante,oncle,tante,mère,oncle,tante,oncle,tante,stan1290
ˈfɑː.ðə,ŭngʹkəl,ɑːnt,ŭngʹkəl,ɑːnt,ˈmʌðə,ŭngʹkəl,ɑːnt,ŭngʹkəl,ɑːnt,ˈfɑː.ðə,ŭngʹkəl,ɑːnt,ŭngʹkəl,ɑːnt,ˈmʌðə,ŭngʹkəl,ɑːnt,ŭngʹkəl,ɑːnt,stan1293
ˈfaːtɐ,ˈɔŋkl̩,ˈtantə,ˈɔŋkl̩,ˈtantə,ˈmʊtɐ,ˈɔŋkl̩,ˈtantə,ˈɔŋkl̩,ˈtantə,ˈfaːtɐ,ˈɔŋkl̩,ˈtantə,ˈɔŋkl̩,ˈtantə,ˈmʊtɐ,ˈɔŋkl̩,ˈtantə,ˈɔŋkl̩,ˈtantə,stan1295
æːb,ʕɑm,ʕɑmæ,ʕɑm,ʕɑmæ,ʔm,xɑːl,xɑːlæ,xɑːl,xɑːlæ,æːb,ʕɑm,ʕɑmæ,ʕɑm,ʕɑmæ,ʔm,xɑːl,xɑːlæ,xɑːl,xɑːlæ,stan1323
ˈabi,zwani,gai,zwani,gai,ˈamu,zwani,ewe,zwani,amu,ˈabi,zwani,gai,zwani,gai,ˈamu,zwani,ewe,zwani,amu,suki1245
taata,tatambuta,tata,tatanleke,tata,ngudi,lêmba,ngudimbuta,lêmba,ngudinleke,taata,tatambuta,tata,tatanleke,tata,ngudi,lêmba,ngudimbuta,lêmba,ngudinleke,suku1259
þaaþå,baba,sèèngi,baba,sèèngi,maayu,maarrub,mayu,maarrub,mayu,þaaþå,baba,sèèngi,baba,sèèngi,maayu,maarrub,mayu,maarrub,mayu,suku1261
abah,ua,ua,emang,embi,emak,ua,ua,emang,embi,abah,ua,ua,emang,embi,emak,ua,ua,emang,embi,sund1252
lob,lob,móyá,lob,móyá,ni,nisóa,ni,nisóa,ni,lob,lob,móyá,lob,móyá,ni,nisóa,ni,nisóa,ni,suru1262
far,onkel,tant,onkel,tant,mor,onkel,tant,onkel,tant,far,onkel,tant,onkel,tant,mor,onkel,tant,onkel,tant,swed1254
amang,tayakí,bî,tayakí,bî,ináng,tayakí,bî,tayakí,bî,amang,tayakí,bî,tayakí,bî,ináng,tayakí,bî,tayakí,bî,tady1237
metuatane,metuatane,metuavahine,metuatane,metuavahine,metuavahine,metuatane,metuavahine,metuatane,metuavahine,metuatane,metuatane,metuavahine,metuatane,metuavahine,metuavahine,metuatane,metuavahine,metuatane,metuavahine,tahi1242
siama,ropomangge,posinao,ropomangge,posinao,siina,ropomangge,posinao,ropomangge,posinao,siama,ropomangge,posinao,ropomangge,posinao,siina,ropomangge,posinao,ropomangge,posinao,taje1237a
siama,posiamao,posinao,posiamao,posinao,sina,posiamao,posinao,posiamao,posinao,siama,posiamao,posinao,posiamao,posinao,sina,posiamao,posinao,posiamao,posinao,taje1237b
siama,posiamaong,posinaong,posiamaong,posinaong,siina,posiamaong,posinaong,posiamaong,posinaong,siama,posiamaong,posinaong,posiamaong,posinaong,siina,posiamaong,posinaong,posiamaong,posinaong,taji1246
tama-,tama-,nbi,tama-,nbi,tna-,ngai,tna-,ngai,tna-,tama-,tama-,nbi,tama-,nbi,tna-,ngai,tna-,ngai,tna-,taki1248
tamana,tamana,tinna,tamana,tinna,tinna,ilaamotu,tamana,ilaamotu,tamana,tamana,tamana,tinna,tamana,tinna,tinna,ilaamotu,tamana,ilaamotu,tamana,taku1257
kaka,kaka,tsagina,kaka,tsagina,lake,tsagina,lake,tsagina,lake,kaka,kaka,tsagina,kaka,tsagina,lake,tsagina,lake,tsagina,lake,tali1259
nama,soesoemama,kolo,soesoemama,kolo,mīna,soesoemama,kolo,soesoemama,kolo,nama,soesoemama,kolo,soesoemama,kolo,mīna,soesoemama,kolo,soesoemama,kolo,tali1262
entǎkkǎppǎn,enperiyatǎkkǎppǎn,enattai,enseriyatǎkkǎppǎn,enattai,entäy,enmǎmǎn,enpěriyǎtäy,enmǎmǎn,ensěriyǎtäy,entǎkkǎppǎn,enperiyatǎkkǎppǎn,enattai,enseriyatǎkkǎppǎn,enattai,entäy,enmǎmǎn,enpěriyǎtäy,enmǎmǎn,ensěriyǎtäy,tami1289
che-ropy,che-ropy,che-chanche,che-ropy,che-chanche,che-vi,che-totyra,che-yura,che-totyra,che-yura,che-ropy,che-rowyrangi,che-chanche,che-rowyrangi,che-chanche,che-vi,che-chotyrangi,che-yura,che-chotyrangi,che-yura,tapi1254
hama,hama,hina,hama,hina,hina,ingoa,hina,ingoa,hina,hama,hama,hina,hama,hina,hina,ingoa,hina,ingoa,hina,taum1237
ama',bapa',bapu',bapa',bapu',ina',bapa',bapu',bapa',bapu',ama',bapa',bapu',bapa',bapu',ina',bapa',bapu',bapa',bapu',taus1251a
y-ānkˀo,šawr,šawr-wn,šawr,šawr-wn,y-ān,šawr,šawr-wn,šawr,šawr-wn,y-ānkˀo,šawr,šawr-wn,šawr,šawr-wn,y-ān,šawr,šawr-wn,šawr,šawr-wn,tehu1242
-oma',-oma',-xaler,-oma',-xaler,-xala',-umeer,-xala',-umeer,-xala',-oma',-oma',-xaler,-oma',-xaler,-xala',-umeer,-xala',-umeer,-xala',teiw1235
tanrǐ,pěttǎndrǐ,mênǎttǎ,pǐnatǎndri,mênǎttǎ,tállǐ,mēnǎmāmǎ,pětǎllǐ,mēnǎmāmǎ,pǐnǎtǎllǐ,tanrǐ,pěttǎndrǐ,mênǎttǎ,pǐnatǎndri,mênǎttǎ,tállǐ,mēnǎmāmǎ,pětǎllǐ,mēnǎmāmǎ,pǐnǎtǎllǐ,telu1262
he-rú,he-ruwyra,he-zaihé,he-ruwyra,he-zaihé,he-hy,he-tutyra,he-iýra,he-tutyra,he-iýra,he-rú,he-ruwyra,he-zaihé,he-ruwyra,he-zaihé,he-hy,he-tutyra,he-iýra,he-tutyra,he-iýra,temb1276
apĩ-,uvy-,jaji-,uvy-,jaji-,a'i-,tutyr-,yy-,tutyr-,yy-,apĩ-,uvy-,jaji-,uvy-,jaji-,a'i-,tutyr-,yy-,tutyr-,yy-,tenh1241
amak,amamatuak,teök,amaanak,teök,ina,toök,inamatuak,toök,inaanak,amak,amamatuak,teök,amaanak,teök,ina,toök,inamatuak,toök,inaanak,term1237
papa,papa,nyengesukadi,papa,nyengesukadi,mama,papa,nyangukadi,papa,nyangukadi,papa,papa,nyengesukadi,papa,nyengesukadi,mama,papa,nyangukadi,papa,nyangukadi,tete1250
aman,amanboot,tia,amankiik,tia,inan,tiu,inanboot,tiu,inankiik,aman,amanboot,tia,amankiik,tia,inan,tiu,inanboot,tiu,inankiik,tetu1246
nganip,nganip,nganpinhirr,nganip,nganpinhirr,nganam,nganmokr,nganam,ngankaala,nganam,nganip,nganip,nganpinhirr,nganip,nganpinhirr,nganam,nganmokr,nganam,ngankaala,nganam,thay1249
papa,papanjira,im,papadjodjo,im,jaja,papanjira,im,papadjodjo,im,papa,papanjira,im,papadjodjo,im,jaja,papanjira,im,papadjodjo,im,tido1248
papa,joema,djodjo,joema,djodjo,jaja,joema,djodjo,joema,djodjo,papa,joema,djodjo,joema,djodjo,jaja,joema,djodjo,joema,djodjo,tido1248a
tamana,tamana,masikitanga,tamana,masikitanga,tinana,tuatina,tinana,tuatina,tinana,tamana,tamana,masikitanga,tamana,masikitanga,tinana,tuatina,tinana,tuatina,tinana,tiko1237a
-éeš,-sáni,-aat,-sáni,-aat,-tláa,-káak,-tláakˀʷ,-káak,-tláakˀʷ,-éeš,-sáni,-aat,-sáni,-aat,-tláa,-káak,-tláakˀʷ,-káak,-tláakˀʷ,tlin1245
maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo,kookoqo,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo,kookoqo,toab1237
