feB,feZ,fyB,fyZ,meB,meZ,myB,myZ,Glottocode
mbani,aaki,mbani,aaki,ame,mbani,ame,mbani,west2599
cìkìsń,cílà',cìkìsń,cílà',cìkìsń,cílà',cìkìsń,cílà',west2615
kaka,p̄ia*,kaka,p̄ia*,p̄ia*,kaka,p̄ia*,kaka,whit1269
wuny,yap,pont,wiil,wuny,yapa,punta,wila,wikm1247
e-cheʼ-to,e-nooʼ,e-sǔnkʼ,e-chunkʼ,e-neʼ,e-nooʼ,e-sǔnkʼ,wychʼ-kä,winn1245
nany,ngömör,yönggan,ngömör,nany,ngömör,yönggan,ngömör,wipi1242
kaaka,katyi,kaakang,muukan,kaaka,katyi,kaakang,muukan,wira1262
mariya,kangkiya,marlany,pangunu,mariya,kangkiya,marlany,pangunu,wira1265
kaka,kaka,hai,hai,kaka,kaka,hai,hai,wiwi1237
lu,toka,lu,tei,toka,lu,tei,lu,woge1237
pangkany,lathkany,thithith,panpan,pangkany,lathkany,thithith,panpan,woiw1237
aka,aka,ande,ande,aka,aka,ande,ande,woli1241
kukudya,karrindyira,murrkadya,murrkadya,kukudya,karrindyira,murrkadya,murrkadya,wong1246
neese-taseʼ,ne-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,neese-taseʼ,ne-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,wood1236
katha,apari,ruti,apari,katha,apari,ruti,apari,wulg1239
ʔari,tafi,ʔari,tafi,lofu,ʔari,lofu,ʔari,wuvu1239
ha-yeʼ-uh,a-yeʼ-uh,ha-ye-aʼ-hä,ya-ye-ahʼ-hä,ha-yeʼ-uh,a-yeʼ-uh,ha-ye-aʼ-hä,ya-ye-ahʼ-hä,wyan1247
age',gege',du,nun,age',gege',du,nun,xibe1242
luŋac,têwaò,luŋac,têwaò,têwa,luò,têwa,luò,yabe1254
upunua,opadi,itamu,amatiki,upunua,opadi,itamu,amatiki,yadh1237
kada,kananji,kanugwa,kanab,kada,kananji,kanugwa,kanab,yagw1240
makyani,pangi,makyani,pangi,makyani,pangi,makyani,pangi,yaka1269
kádí-wà-pàé,kádí-wà-mòétò,kádí-wà-pàé,kádí-wà-mòétò,kádí-wà-pàé,kádí-wà-mòétò,kádí-wà-pàé,kádí-wà-mòétò,yaka1272
pongtina'i,kakka,pongtina'i,sali,kakka,pongtina'i,sali,pongtina'i,yaka1277
nä-aiʼ-yas,pǎts,patsht,a-seep,nä-aiʼ-yas,pǎts,es-hupʼ,ats,yaki1237
thawirti,thirrirri,kanamu,kanamu,thawirti,thirrirri,kanamu,kanamu,yala1262
thawirti,thirrirri,kanamu,kanamu,thawirti,thirrirri,kanamu,kanamu,yala1262a
waym,way-kipa,ašouwa,uš-kipa,waym,way-kipa,ašouwa,uš-kipa,yama1264
kaka,kaka,wari,wari,kaka,kaka,wari,wari,yami1254
nguthu,kaku,ngatharri,ngatharri,nguthu,kaku,ngatharri,ngatharri,yand1253
nguthu,kaku,ngathadi,ngathadi,nguthu,kaku,ngathadi,ngathadi,yand1253a
papa,ngatyapapa,winaka,winaka,papa,ngatyapapa,winaka,winaka,yany1243
abachi,ako,wai,wai,sai,ako,saila,wai,yaqu1251
ic̷i-naha,ľ̥inia-naha,ic̷i-naha,ľ̥inia-naha,ic̷i-naha,ľ̥inia-naha,ic̷i-naha,ľ̥inia-naha,yavi1244
tîdê,mbwó,tîdê,mbwó,mbwó,tîdê,mbwó,tîdê,yele1255
nana,nana,wobia,wobia,nana,nana,wobia,wobia,yelm1242
tyilipurrway,tyangkul,kaningkirray,tyangkul,tyilipurrway,tyangkul,kaningkirray,tyangkul,yidi1250
jiliburrway,janggul,ganinggirray,janggul,jiliburrway,janggul,ganinggirray,janggul,yidi1250a
kaya,thurtu,kurtaarra,kurtaarra,kaya,thurtu,kurtaarra,kurtaarra,yind1247
pulqa,luqan+ng,pann,pann,pulqa,luqan+ng,pann,pann,yiry1245
bakhomba,bakhomba,baphangi,bakhomba,bakhomba,bakhomba,baphangi,bakhomba,yomb1244
panyupa,thatyip,kityika,panyuip,panyupa,thatyip,kityika,panyuip,yort1237
zucun,cic,idzin,idzin,zucun,cic,idzin,idzin,yuca1254
kakung,nanaang,panaam,yirrkaang,kakung,nanaang,panaam,yirrkaang,yugu1249
k'itc,k'itc,la'n,mu'n,k'itc,k'itc,la'n,mu'n,yuki1243
kuta,nyarrumpa,malatyu,malatyu,kuta,nyarrumpa,malatyu,malatyu,yulp1239
pipi,neshu,dyama,dyama,pii,yee,paa,yee,yura1255
nemit,nepin,neiku,neikeu,nemit,nepin,neiku,neikeu,yuro1248
abãʰlõ,abalou,hãyẽ,hãlihayu,abãʰlõ,abalou,hãyẽ,hãlihayu,yuwa1244
kaka,kaka,tahi,tahi,kaka,kaka,tahi,tahi,zaba1237
murumuna,mwanyanya,murumuna,mwanyanya,murumuna,mwanyanya,murumuna,mwanyanya,zinz1238
u´-mnawa´-tǔ,u-dä´-dawa´-tǔ,u-mnä´-wawä´-ma,u-dá´dawa´-tǔ,u´-mnawa´-tǔ,u-dä´-dawa´-tǔ,u-mnä´-wawä´-ma,u-dä-dawa´-tǔ,zulu1248
