feB,feZ,fyB,fyZ,meB,meZ,myB,myZ,Glottocode
pavi,paci',tami',nami',pavi,paci',tami',nami',coma1245
nahˑ-hänsʼ,na-meseʼ,nahˑ-eeseʼ-u-missʼ,nahˑ-eeseʼ-u-missʼ,nahˑ-hänsʼ,na-meseʼ,nahˑ-eeseʼ-u-missʼ,nahˑ-eeseʼ-u-missʼ,comm1246
ani,angayuk,aqqaluaq,nukaq,angayuk,aliqa,nukaq,nayak,copp1244
broder,whor,broder,whor,broder,whor,broder,whor,corn1251
maama,kakay,maama,hadi,kakay,tebay,hadi,tebay,cota1241
chu-chihlʼ-wa,chu-hläʼ-hä,chu-chihlʼ-wä,chu-chǔʼ-se,chu-hlä-hä,chu-wunʼ-wä,chu-chǔʼ-se,chu-wunʼ-wä,cree1270
neesh-taseʼ,ne-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neesh-taseʼ,ne-mishʼ,ne-she-mishʼ,ne-she-mishʼ,cree1272
bä-zäʼ-na,bus-weʼ-nä,bä-chǔʼ-ka,bä-soʼ-ka,meekʼ-a,bä-zaʼ-kät,bä-chǔʼ-ka,bä-säʼ-chete,crow1244
hu-ka'-mi-u'-li-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ki'-tcitc-stan-ī-hu,hu-kamu'-te-stān'-i-hu,hu-ka'-mi-u'-li-stö-kö,hu-ka-mo-te-u'-lu-e-stö-kö,hu-ki'-tcitc-stan-ī-hu,hu-kamu'-te-stān'-i-hu,cruz1243
páʂma,qísma,kanima,wahali,páʂma,qísma,kanima,wahali,cupe1243
pana,ñaña.,pana,ñaña.,wayqe,pana,wayqe,pana,cusc1236
bratr,sestra,bratr,sestra,bratr,sestra,bratr,sestra,czec1258
munukuli,bivian,munukuli,bivian,minyeneli,meteseli,minyeneli,meteseli,daka1243
te-mdoʼ,me-chun̤ʼ,me-sun̤ʼ-kä,me-tan̤ʼ-kä,chin-yayʼ,tan̤-kayʼ,me-sun̤ʼ-kä,me-tänkʼ-she,dako1258
sia'a,sia'a,tuai,tuai,sia'a,sia'a,tuai,tuai,damp1237
dādā,akkā,tamō,hellār,dādā,akkā,tamō,hellār,dand1238
bror,søster,lillebror,lillesøster,bror,søster,lillebror,lillesøster,dani1285
barādar,xāhar,barādar,xāhar,barādar,xāhar,barādar,xāhar,dari1249
weʈiga,willoya,kaakutya,waadidja,weʈiga,willoya,kaakutya,waadidja,darl1243
ega,vyt'taza,ega,vyt'taza,ega,vyt'taza,ega,vyt'taza,dege1248
tsaai2,se2,lɔŋ5,lɔŋ5,tsaai2,se2,lɔŋ5,lɔŋ5,deho1238
maram,maram,wuyirr,ngaburu,maram,maram,wuyirr,ngaburu,dhar1248
marang,maru,wuyiru,maram,marang,maru,wuyiru,maram,dhar1248a
wäwa,yapa,yukuyuku,yukuyuku,wäwa,yapa,yukuyuku,yapa,dhuw1248
waawa,yapa,gutha',yapa,waawa,yapa,gutha',yapa,dhuw1249
n̪iyi,kakoː,ŋat̪ata,ŋat̪ata,n̪iyi,kakoː,ŋat̪ata,ŋat̪ata,dier1241
nhiyi,kaku,nhiyi,nartala,nhiyi,kaku,nhiyi,natarta,dier1241a
mvyere,mvyere,mdide,mdide,mvyere,mvyere,mdide,mdide,digo1243
ibulintsœm,ijℇ,ŋkurmukje,mukoom,ibulintsœm,ijℇ,ŋkurmukje,mukoom,ding1239
nhuupiya,mirtiku,kutha',kutha',nhuupiya,mirtiku,kutha',kutha',djam1256
baba,bibirni,bardarda,birdirdini,baba,bibirni,bardarda,birdirdini,djin1251
wuwi,kardirti,kulmigi,kardirti,wuwi,kardirti,kulmigi,kardirti,djin1253
wuwi,gaditi,gulmiki,gaditi,wuwi,gaditi,gulmigi,gaditi,djin1253a
sǔ-näʼ-gä,set-dezʼ-a-ä-za,set-chilʼ-e-ä-za,säʼ-re,sǔ-näʼ-gä,set-dezʼ-a-ä-za,set-chilʼ-e-ä-za,säʼ-re,dogr1252
sia'a,sia'a,tuai,tuai,sia'a,sia'a,tuai,tuai,dond1249
múnasángoboso,múnasángoboso,múnasángongoka,múnasángongoka,múnasángoboso,múnasángoboso,múnasángongoka,múnasángongoka,dual1243
